head,relation,tail,time
Alex Badeh,Host a visit,Suleiman Abba,2014-08-06
China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2014-06-27
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-09-19
Guinea,Criticize or denounce,Citizen (Guinea),2014-05-18
Colombia,Host a visit,Human Rights Watch,2014-05-13
Barack Obama,Discuss by telephone,François Hollande,2014-06-21
China,Make optimistic comment,Vietnam,2014-08-25
Court Judge (Nigeria),Make an appeal or request,Government (Nigeria),2014-04-03
Tanzania,Host a visit,International Monetary Fund,2014-10-30
Tzipi Livni,Engage in negotiation,Royal Administration (Saudi Arabia),2014-02-02
Juan Carlos I,Make a visit,Kuwait,2014-04-15
Criminal (Egypt),Use unconventional violence,Police (Egypt),2014-06-16
Police (Australia),Confiscate property,Citizen (Australia),2014-07-18
Mohammad Javad Zarif,Consult,John Kerry,2014-09-24
Chuck Hagel,Consult,Japan,2014-01-18
Activist (Thailand),Express intent to meet or negotiate,National Council for Peace and Order of Thailand,2014-06-08
European Parliament,Make an appeal or request,Serbia,2014-11-27
Iraq,Coerce,Party Member (Iraq),2014-12-16
Xi Jinping,Engage in negotiation,Ma Ying Jeou,2014-10-12
North Atlantic Treaty Organization,Express intent to meet or negotiate,Barack Obama,2014-09-03
Alfred Mutua,Consult,Citizen (Kenya),2014-11-05
Boko Haram,Accuse,Citizen (Nigeria),2014-05-16
Daniel Scioli,Make statement,Cristina Fernández de Kirchner,2014-03-02
Criminal (Argentina),Use unconventional violence,Men (Argentina),2014-07-11
Awami (People's) League,Criticize or denounce,Citizen (Bangladesh),2014-09-27
Iran,Host a visit,Wael al-Halki,2014-12-16
Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-06-23
South Korea,Express intent to meet or negotiate,North Korea,2014-03-21
Amnesty International,Criticize or denounce,National Council for Peace and Order of Thailand,2014-09-11
John Kerry,Make statement,North Korea,2014-07-21
Hamas,Make an appeal or request,"Head of Government (Palestinian Territory, Occupied)",2014-12-01
Daniel Russel,Make a visit,South Korea,2014-10-08
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-09-23
Prayuth Chan-ocha,Make an appeal or request,Citizen (Thailand),2014-09-12
Military (Mexico),fight with small arms and light weapons,Criminal (Mexico),2014-09-25
Uhuru Muigai Kenyatta,Consult,Okoth Obado,2014-09-19
Oman,Consult,Iran,2014-04-22
Police (Australia),Accuse,Citizen (Australia),2014-10-26
Tajikistan,Express intent to engage in diplomatic cooperation (such as policy support),Afghanistan,2014-01-14
Barack Obama,Make statement,China,2014-11-17
Caroline Kennedy,Make a visit,Japan,2014-08-09
Barack Obama,Make a visit,France,2014-02-12
Laos,Host a visit,Gen Prayut Chan-o-cha,2014-11-27
François Hollande,Express intent to meet or negotiate,Canada,2014-11-02
Foreign Affairs (Venezuela),Make a visit,Iran,2014-08-07
Romania,Host a visit,European Parliament,2014-05-25
South Korea,Host a visit,China,2014-07-04
Iran,Engage in negotiation,Tajikistan,2014-09-10
Military (Mexico),Use conventional military force,Armed Gang (Mexico),2014-07-02
Ashraf Ghani Ahmadzai,Make statement,Afghanistan,2014-08-09
Japan,Express intent to cooperate on intelligence,South Korea,2014-12-26
Pope Francis,Make statement,South Korea,2014-08-16
Citizen (Nigeria),Accuse,Government (Nigeria),2014-09-03
Haider Al-Abadi,Consult,Joseph Robinette Biden,2014-08-25
Xi Jinping,Consult,Ma Ying Jeou,2014-01-28
Citizen (India),Make an appeal or request,Omar Abdullah,2014-01-02
Afghanistan,Make statement,Armed Gang (Afghanistan),2014-07-21
China,Host a visit,Prayuth Chan-ocha,2014-12-24
Legislature (China),Make statement,China,2014-12-01
China,Host a visit,Mamnoon Hussain,2014-02-23
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-07-18
Leon Panetta,Make a visit,South Korea,2014-10-08
Nicos Anastasiades,Consult,Evangelos Venizelos,2014-07-29
Human Rights Commission (Nigeria),Praise or endorse,Government (Nigeria),2014-08-20
Phung Quang Thanh,Make statement,Vietnam,2014-11-27
Head of Government (Pakistan),Make an appeal or request,Barack Obama,2014-11-22
Citizen (Nigeria),Make an appeal or request,Daily Trust,2014-12-15
Sergey Viktorovich Lavrov,Host a visit,John Kerry,2014-04-01
Militant (Iraq),Occupy territory,Iraq,2014-10-16
Citizen (Kenya),Use unconventional violence,Police (Kenya),2014-12-08
North Korea,Host a visit,Shozaburo Nakamura,2014-08-22
Armed Rebel (Yemen),Use unconventional violence,Citizen (Yemen),2014-02-01
Xi Jinping,Express intent to meet or negotiate,Tajikistan,2014-09-10
Foreign Affairs (United States),Consult,Massoud Barzani,2014-04-21
Sam Nda-Isaiah,Make a visit,Islamic (Nigeria),2014-08-01
Alexis Tsipras,Demand,Citizen (Greece),2014-09-14
Protester (Ukraine),Demonstrate or rally,Police (Ukraine),2014-02-24
Morocco,Sign formal agreement,Guinea,2014-03-05
Mohammad Javad Zarif,Engage in negotiation,Catherine Ashton,2014-11-18
China,Reduce relations,Japan,2014-05-29
Thailand,Engage in diplomatic cooperation,China,2014-07-17
Police (Yemen),Use tactics of violent repression,Protester (Yemen),2014-11-30
Military Personnel (Philippines),Make statement,Philippines,2014-10-17
Japan,Make an appeal or request,North Korea,2014-10-09
Armed Rebel (Syria),Use unconventional violence,Middle East,2014-03-19
Special Court (Pakistan),Make an appeal or request,Pervez Musharraf,2014-04-02
Bala Abdulkadir Mohammed,Express intent to cooperate,Citizen (Nigeria),2014-05-05
Holy See,Engage in diplomatic cooperation,Pope Francis,2014-08-19
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-04-17
Cabinet / Council of Ministers / Advisors (United States),Praise or endorse,Ashraf Ghani Ahmadzai,2014-09-29
Hamas,Consult,Al Jazeera,2014-07-26
South Korea,Consult,Japan,2014-09-19
United Arab Emirates,Host a visit,"Head of Government (Palestinian Territory, Occupied)",2014-11-20
Cabinet / Council of Ministers / Advisors (United States),Host a visit,Xi Jinping,2014-02-14
Citizen (India),Express intent to cooperate,Indigenous People (India),2014-08-03
John Kerry,Consult,Head of Government (Pakistan),2014-03-30
Danjuma Goje,Assassinate,Ibrahim Hassan Dankwambo,2014-12-22
Japan,Express intent to meet or negotiate,China,2014-03-28
Ethiopia,Consult,Head of Government (Egypt),2014-12-19
Citizen (Tanzania),Threaten,Criminal (Tanzania),2014-01-09
Giorgio Napolitano,Engage in negotiation,Abdel Fattah Al-Sisi,2014-11-24
Citizen (Namibia),Physically assault,Court Judge (Namibia),2014-02-04
Umar al Bashir,Make a visit,Popular Congress,2014-02-18
Xi Jinping,Express intent to meet or negotiate,France,2014-03-25
Citizen (India),Deny responsibility,Raj Thackeray,2014-01-28
Head of Government (India),Express intent to meet or negotiate,Citizen (India),2014-11-10
Citizen (India),Use unconventional violence,Military Personnel (India),2014-03-06
China,Provide military aid,South Sudan,2014-09-11
Mamnoon Hussain,Make optimistic comment,China,2014-02-17
Kuwait,Reduce or break diplomatic relations,Qatar,2014-03-23
Canada,"Impose embargo, boycott, or sanctions",North Korea,2014-01-06
China,Criticize or denounce,Philippines,2014-12-09
China,Host a visit,Shimon Peres,2014-04-04
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-06-15
Governor (Kenya),Accuse,Citizen (Kenya),2014-02-27
Mohammad Javad Zarif,Make statement,China,2014-04-07
Jakaya Mrisho Kikwete,Express intent to cooperate,Citizen (Tanzania),2014-01-28
Barack Obama,Accuse,North Korea,2014-12-24
North Korea,Engage in negotiation,Japan,2014-04-15
Ministry (Brazil),Criticize or denounce,Citizen (Brazil),2014-07-23
UN Security Council,Investigate,Iran,2014-03-20
Canada,Host a visit,Robin Dhowan,2014-08-04
Kim Jong-Un,Make a visit,North Korea,2014-06-12
Citizen (Uganda),Accuse,Police (Uganda),2014-03-28
John F. Kelly,Make a visit,Guatemala,2014-04-03
China,Make an appeal or request,South Korea,2014-07-18
John Kerry,Express intent to meet or negotiate,Xi Jinping,2014-11-04
Other Authorities / Officials (China),Increase police alert status,China,2014-03-01
Citizen (India),Use unconventional violence,Akhilesh Yadav,2014-06-02
Chuck Hagel,Threaten,China,2014-04-07
South Korea,Make statement,North Korea,2014-04-03
John Kerry,Express intent to meet or negotiate,Riek Machar,2014-05-05
Citizen (Nigeria),Make an appeal or request,Oversight Court (Nigeria),2014-10-14
Men (South Africa),Appeal for diplomatic cooperation (such as policy support),Indigenous People (South Africa),2014-05-30
Oman,Engage in diplomatic cooperation,Iran,2014-01-31
Romania,Host a visit,Victor Ponta,2014-07-29
Federica Mogherini,Discuss by telephone,Sergey Viktorovich Lavrov,2014-09-01
Iran,Host a visit,Nabih Berri,2014-02-14
Sergey Viktorovich Lavrov,Make pessimistic comment,John Kerry,2014-06-27
Oommen Chandy,Make an appeal or request,Member of Parliament (India),2014-06-28
China,Express intent to cooperate economically,South Korea,2014-03-03
North Korea,Host a visit,Lawmaker (Japan),2014-07-11
Opposition Supporter (Pakistan),Consult,Raheel Sharif,2014-08-29
Cristina Fernández de Kirchner,Consult,Pope Francis,2014-09-22
Court Judge (Nigeria),Demand,Citizen (Nigeria),2014-04-04
Franklin Drilon,Host a visit,Japan,2014-05-08
Police (New Zealand),"Arrest, detain, or charge with legal action",Men (New Zealand),2014-11-18
Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-04-16
Iran,Consult,Foreign Affairs (Lebanon),2014-01-16
Student (Venezuela),Demonstrate or rally,Government (Venezuela),2014-02-16
Barack Obama,Express intent to meet or negotiate,Japan,2014-01-29
China,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2014-12-12
Citizen (India),Use unconventional violence,Military Personnel (India),2014-09-13
France,Consult,Canada,2014-09-14
China,Make statement,Iran,2014-11-17
Saud bin Faisal bin Abdul-Aziz,Make a visit,Kuwait,2014-03-27
Head of Government (Ukraine),Consult,Arseniy Yatsenyuk,2014-10-29
Poland,Express intent to meet or negotiate,France,2014-02-21
Iran,Express intent to provide military aid,Military (Lebanon),2014-10-07
France,"Arrest, detain, or charge with legal action",Men (France),2014-11-05
Willem-Alexander,Praise or endorse,Xi Jinping,2014-03-24
Haider Al-Abadi,Make statement,Iraq,2014-11-03
Kuwait,Host a visit,Abdullah Gül,2014-04-01
Armed Band (Lebanon),Use unconventional violence,Military (Lebanon),2014-03-01
Sergey Viktorovich Lavrov,Make statement,UN Security Council,2014-02-11
Media (India),Consult,Pinarayi Vijayan,2014-05-25
Association of Southeast Asian Nations,Express intent to meet or negotiate,Japan,2014-05-22
Sergey Viktorovich Lavrov,Engage in negotiation,John Kerry,2014-03-13
China,Consult,South Korea,2014-09-29
Thailand,Host a visit,Prayuth Chan-ocha,2014-09-12
Andrew Robb,Make a visit,Japan,2014-03-17
Militant (Philippines),Use unconventional violence,Military (Philippines),2014-12-29
Abdullah Abdullah,Sign formal agreement,Ashraf Ghani Ahmadzai,2014-09-28
Armed Rebel (Syria),Retreat or surrender militarily,Government (Syria),2014-05-19
Police (Yemen),Make an appeal or request,Citizen (Yemen),2014-03-21
Miroslav Lajcak,Make a visit,Iran,2014-09-15
Head of Government (Qatar),Make a visit,Sudan,2014-04-02
Mohammad Javad Zarif,Make statement,Iran,2014-09-20
Philippines,"Arrest, detain, or charge with legal action",Abu Sayyaf,2014-06-17
Military Personnel - Special (India),fight with small arms and light weapons,Citizen (India),2014-12-01
John Kerry,Consult,Pavlo Klimkin,2014-07-31
Abdel Fattah Al-Sisi,Praise or endorse,Barack Obama,2014-06-10
Lawyer/Attorney (Kenya),Demand,Citizen (Kenya),2014-04-10
Sergey Viktorovich Lavrov,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States),2014-04-22
Police (Australia),fight with small arms and light weapons,Citizen (Australia),2014-10-03
Court Judge (India),Reject,Men (India),2014-09-20
House of Representatives (Jordan),"Reject plan, agreement to settle dispute",Police (Jordan),2014-09-23
Nhial Deng Nhial,Make statement,Ethiopia,2014-03-15
North Korea,Engage in diplomatic cooperation,South Korea,2014-01-05
Military (France),Use conventional military force,Jean-Yves Le Drian,2014-03-24
Ministry (Angola),Praise or endorse,Government (Italy),2014-07-22
François Hollande,Make statement,France,2014-04-25
Myanmar,Make a visit,Xi Jinping,2014-06-29
Ashraf Ghani Ahmadzai,Praise or endorse,North Atlantic Treaty Organization,2014-11-06
Government (Nigeria),Refuse to yield,Medical Personnel (Nigeria),2014-03-31
Cabinet / Council of Ministers / Advisors (United States),Consult,Catherine Ashton,2014-09-27
Barack Obama,Threaten,Citizen (International),2014-09-19
Julie Bishop,Make statement,Barack Obama,2014-11-20
Thailand,Impose administrative sanctions,Citizen (Australia),2014-08-14
China,Accuse,Japan,2014-05-25
Irakli Alasania,Make a visit,France,2014-10-28
Tajikistan,Host a visit,Cheng Guoping,2014-09-09
Foreign Affairs (India),Express intent to meet or negotiate,Sujatha Singh,2014-07-24
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-07-10
Citizen (Nigeria),Make an appeal or request,Muslim (Nigeria),2014-04-21
China,Express intent to engage in diplomatic cooperation (such as policy support),African Union,2014-01-13
Mohammad Javad Zarif,Make statement,Iran,2014-01-13
Citizen (India),Make an appeal or request,Election Commission (India),2014-04-04
China,Host a visit,Ashraf Ghani Ahmadzai,2014-11-11
Citizen (India),Complain officially,Employee (India),2014-03-22
John Kerry,Make statement,Iraq,2014-06-25
Milos Zeman,Express intent to engage in diplomatic cooperation (such as policy support),Islam Karimov,2014-01-31
Japan,Consult,South Korea,2014-06-01
Congo,Host a visit,Herve Ladsous,2014-05-01
Tony Tan Keng Yam,Make a visit,Philippines,2014-04-03
Coalition of the Radical Left,Make statement,New Democracy,2014-01-08
John Kerry,Express intent to meet or negotiate,Benjamin Netanyahu,2014-03-27
Election Commission (India),Appeal for economic aid,Citizen (India),2014-04-06
Al Jazeera,Make statement,Other Authorities / Officials (Egypt),2014-02-10
Citizen (India),Make an appeal or request,Military Personnel (India),2014-10-16
Pope Francis,Express intent to meet or negotiate,Middle East,2014-05-22
Megawati Sukarnoputri,Praise or endorse,Prabowo Subianto,2014-03-16
Tajikistan,Engage in diplomatic cooperation,China,2014-05-20
Court Judge (India),Reject,Citizen (India),2014-11-15
Vietnam,Sign formal agreement,China,2014-05-14
Military Personnel (Philippines),Make statement,Military (Philippines),2014-08-21
Mohammad Javad Zarif,Consult,Sebastian Kurz,2014-02-18
Foreign Affairs (Russia),Host a visit,Foreign Affairs (Ukraine),2014-06-18
Police (South Africa),Provide humanitarian aid,South Africa,2014-05-19
Vietnam,Praise or endorse,Thailand,2014-06-05
Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2014-11-21
Mohammad Javad Zarif,Halt negotiations,John Kerry,2014-11-22
Aladdin Boroujerdi,Make a visit,Mexico,2014-12-05
Mohammad Javad Zarif,Express intent to meet or negotiate,Catherine Ashton,2014-07-07
Governor (Yemen),Use conventional military force,Militant (Yemen),2014-08-17
South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014-10-21
Citizen (South Korea),Use unconventional violence,Police (South Korea),2014-10-11
Citizen (Venezuela),Criticize or denounce,Leopoldo López,2014-03-09
Head of Government (India),Make an appeal or request,Citizen (India),2014-07-15
Police (Tanzania),"Arrest, detain, or charge with legal action",Citizen (Tanzania),2014-03-03
Employee (India),Conduct strike or boycott,Sharad Pawar,2014-04-13
Oman,Host a visit,Shura Council,2014-12-08
John Kerry,"Demand change in institutions, regime",Iraq,2014-06-24
Alexis Tsipras,Make statement,Evangelos Venizelos,2014-12-01
Special Court (Pakistan),"Arrest, detain, or charge with legal action",Pervez Musharraf,2014-04-16
Court Judge (India),Ease administrative sanctions,Citizen (India),2014-03-21
Sule Lamido,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-11-24
Military (Mexico),"Arrest, detain, or charge with legal action",Criminal (Mexico),2014-07-26
Foreign Affairs (Russia),Make a visit,France,2014-01-12
Lawyer/Attorney (Zambia),"Arrest, detain, or charge with legal action",Citizen (Zambia),2014-11-08
Police (Ukraine),Physically assault,Protester (Ukraine),2014-01-24
Citizen (Kenya),Accuse,Government (Kenya),2014-06-13
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-11-21
Vietnam,Engage in diplomatic cooperation,Cambodia,2014-09-12
Citizen (Nigeria),Make an appeal or request,Boko Haram,2014-05-22
Police (South Africa),Use conventional military force,Men (South Africa),2014-11-27
South Korea,Host a visit,North Korea,2014-10-09
Head of Government (Nigeria),Consult,Media (Africa),2014-07-31
Uhuru Muigai Kenyatta,Consult,Riek Machar,2014-05-29
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-04-02
Police (Australia),Investigate,Citizen (Australia),2014-09-16
Barack Obama,Praise or endorse,Benjamin Netanyahu,2014-03-06
Philippines,Host a visit,Barack Obama,2014-05-01
Mevlut Cavusoglu,Consult,Tamar Beruchashvili,2014-12-10
Insurgent (Islamic State of Iraq and the Levant),Threaten,Iraq,2014-06-11
Police (Kyrgyzstan),"Arrest, detain, or charge with legal action",Citizen (Kyrgyzstan),2014-02-03
Noppadon Pattama,Make statement,Thaksin Shinawatra,2014-05-12
Morocco,Grant diplomatic recognition,China,2014-11-06
Police (Australia),Confiscate property,Citizen (Australia),2014-02-12
Romania,Make a visit,Iran,2014-09-15
Dharamvira Gandhi,Host a visit,Preneet Kaur,2014-05-02
Police (Philippines),"Arrest, detain, or charge with legal action",Thief (Philippines),2014-10-08
Employee (India),Accuse,Citizen (India),2014-02-24
Angela Merkel,Consult,François Hollande,2014-02-20
South Korea,Criticize or denounce,North Korea,2014-07-17
John Kerry,Make statement,Iraq,2014-12-03
Barack Obama,Discuss by telephone,Benjamin Netanyahu,2014-07-28
Citizen (Kenya),Make an appeal or request,Head of Government (Kenya),2014-10-01
China,Host a visit,Head of Government (Egypt),2014-12-22
Criminal (Australia),Use unconventional violence,Citizen (Australia),2014-12-22
Employee (India),Use conventional military force,Aam Aadmi Party,2014-05-04
Boko Haram,"Abduct, hijack, or take hostage",Education (Nigeria),2014-04-18
John Kerry,Consult,Party Member (Afghanistan),2014-07-10
Mohammad Javad Zarif,Make optimistic comment,Iran,2014-04-27
South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014-04-01
Iran,Praise or endorse,Iraq,2014-07-17
Raheel Sharif,Consult,Chaudhry Nisar Ali Khan,2014-08-18
Ministry (Nigeria),Make statement,Government (Nigeria),2014-11-10
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-12-16
Police (Australia),Investigate,Citizen (Australia),2014-08-25
China,Express intent to cooperate,France,2014-10-20
People Associated with the Opposition (Ukraine),Consult,Catherine Ashton,2014-02-07
United Arab Emirates,Sign formal agreement,Iran,2014-01-17
Sudan,"Arrest, detain, or charge with legal action",Citizen (Sudan),2014-05-15
Gabriel Torwua Suswam,Make an appeal or request,Citizen (Nigeria),2014-10-14
Barack Obama,Make a visit,South Korea,2014-04-22
Shimon Peres,Make a visit,Head of Government (China),2014-04-08
Antonis Samaras,Consult,Angela Merkel,2014-04-11
Iran,Express intent to meet or negotiate,Sudan,2014-07-17
Japan,Express intent to engage in diplomatic cooperation (such as policy support),Association of Southeast Asian Nations,2014-11-11
Governor (Angola),Consult,Angola,2014-08-18
Foreign Affairs (South Africa),Demand diplomatic cooperation (such as policy support),Iran,2014-09-10
Evangelos Venizelos,Consult,Antonis Samaras,2014-12-23
China,Engage in diplomatic cooperation,Ethiopia,2014-05-04
Armenia,Consult,Tajikistan,2014-11-11
Hamas,Express intent to meet or negotiate,Qatar,2014-08-14
South Korea,Host a visit,Barack Obama,2014-05-01
Sergey Viktorovich Lavrov,Discuss by telephone,Fumio Kishida,2014-03-11
Member of the Judiciary (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-03-07
Citizen (Yemen),Accuse,Armed Rebel (Yemen),2014-08-13
Sergey Viktorovich Lavrov,Make statement,Foreign Affairs (Russia),2014-02-01
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-05-15
France,Host a visit,Mohamed Ould Abdel Aziz,2014-10-03
Police (Sudan),"Arrest, detain, or charge with legal action",Citizen (Sudan),2014-09-23
Iran,Defend verbally,Iraq,2014-12-08
Citizen (Bulgaria),Appeal for easing of administrative sanctions,Oversight Court (Bulgaria),2014-03-17
Malaysia,"Arrest, detain, or charge with legal action",Citizen (Australia),2014-09-01
Envoy (Qatar),Consult,Abdel Fattah Al-Sisi,2014-12-22
Citizen (Nigeria),"Reject plan, agreement to settle dispute",Government (Nigeria),2014-07-11
Chibuike Rotimi Amaechi,Make pessimistic comment,Government (Nigeria),2014-08-13
Citizen (India),Make an appeal or request,Election Commission (India),2014-03-31
Hamas,Criticize or denounce,Israeli Defense Forces,2014-07-06
Head of Government (Egypt),Consult,Tony Blair,2014-09-07
"Combatant (Palestinian Territory, Occupied)",Use unconventional violence,Israeli Defense Forces,2014-07-18
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-12-03
Barack Obama,Make a visit,Poland,2014-05-27
Iran,Sign formal agreement,European Parliament,2014-04-06
China,Host a visit,Yasuo Fukuda,2014-10-24
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-02-20
Foreign Affairs (Chad),Make a visit,Cameroon,2014-08-08
Pavlo Klimkin,Express intent to meet or negotiate,Foreign Affairs (Russia),2014-08-15
China,Make statement,Vietnam,2014-06-11
Saud bin Faisal bin Abdul-Aziz,Make an appeal or request,Iran,2014-10-14
Barack Obama,Make statement,Iran,2014-04-29
Citizen (Australia),Use unconventional violence,Police (Australia),2014-07-14
Yunus Qanuni,Make a visit,Afghanistan,2014-05-05
Foreign Affairs (Italy),Express intent to meet or negotiate,Paolo Gentiloni,2014-12-22
Japan,Engage in diplomatic cooperation,China,2014-01-24
Citizen (Sudan),Make an appeal or request,Government (Sudan),2014-11-07
Saud bin Faisal bin Abdul-Aziz,Make a visit,China,2014-02-23
Iran,Consult,Kazakhstan,2014-04-01
Citizen (Nigeria),Engage in symbolic act,Royal Administration (Nigeria),2014-05-26
Business (Canada),Express intent to meet or negotiate,Canada,2014-10-28
Police (Australia),Accuse,Criminal (Australia),2014-01-22
North Atlantic Treaty Organization,Retreat or surrender militarily,Afghanistan,2014-03-13
Moro Islamic Liberation Front,Use conventional military force,Military (Philippines),2014-04-20
Cambodia,Make statement,Thailand,2014-06-17
Media (South Africa),Consult,City Mayor (South Africa),2014-08-08
Antonis Samaras,Consult,Nicos Anastasiades,2014-11-10
Citizen (Nigeria),Make an appeal or request,Jonah David Jang,2014-12-01
Military Personnel - Special (Nigeria),Use conventional military force,Terrorist Leader (Boko Haram),2014-05-10
Royal Administration (Iraq),Make statement,Iraq,2014-03-09
Lawyer/Attorney (South Korea),Make an appeal or request,Police (South Korea),2014-05-23
Gazprom,Consult,AB Lithuanian Gas,2014-04-30
John Kerry,Make statement,National Coalition for Syrian Revolutionary and Opposition Forces,2014-05-09
China,Host a visit,Media Personnel (International),2014-09-21
France,Host a visit,House of Representatives (Russia),2014-08-19
France,Host a visit,John Kerry,2014-06-22
Military (Philippines),Use conventional military force,Philippines,2014-03-14
Xi Jinping,Make statement,China,2014-06-28
Thailand,Express intent to cooperate,Vietnam,2014-11-15
South Africa,Consult,China,2014-06-30
Abdel Fattah Al-Sisi,Make a visit,Sudan,2014-06-28
Xi Jinping,Make a visit,China,2014-05-20
Vietnam,Host a visit,Gina McCarthy,2014-04-16
Foreign Affairs (Russia),Make statement,North Atlantic Treaty Organization,2014-09-05
Sergey Viktorovich Lavrov,Criticize or denounce,North Atlantic Treaty Organization,2014-09-30
Japan,Express intent to cooperate economically,South Korea,2014-11-03
Cristina Fernández de Kirchner,Express intent to meet or negotiate,France,2014-03-06
Police (Ukraine),fight with small arms and light weapons,Protester (Ukraine),2014-08-09
Protester (Hong Kong),"Protest violently, riot",Police (Hong Kong),2014-11-30
Military (Mali),Use conventional military force,Armed Rebel (Mali),2014-05-28
South Africa,"Arrest, detain, or charge with legal action",Police (South Africa),2014-06-27
Men (Philippines),"Conduct suicide, car, or other non-military bombing",Philippines,2014-10-15
Police (Australia),Investigate,Citizen (Australia),2014-09-19
Klaus Johannis,Make statement,National Liberal Party,2014-06-03
Joseph Robinette Biden,Consult,Arseniy Yatsenyuk,2014-03-13
Angela Merkel,Praise or endorse,China,2014-07-07
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-09-30
Fumio Kishida,Make statement,Japan,2014-08-13
Israeli Defense Forces,Use conventional military force,Hamas,2014-07-21
Afghanistan,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-13
Government (Mexico),Make statement,Mexico,2014-04-15
Armed Gang (India),Kill by physical assault,Citizen (India),2014-12-12
Citizen (Nigeria),Make an appeal or request,Nigerian Governors Forum,2014-12-04
Head of Government (Gambia),Make a visit,Qatar,2014-11-19
Agence France-Presse,Make statement,François Hollande,2014-10-30
Benjamin Netanyahu,Make statement,Police (Israel),2014-10-26
Sheikh Hasina Wajed,Make an appeal or request,Bangladesh Nationalist Party,2014-01-19
Benjamin Netanyahu,Accuse,Yair Lapid,2014-12-02
Citizen (Nigeria),Demand diplomatic cooperation (such as policy support),Government (Nigeria),2014-10-02
North Korea,Meet at a 'third' location,Japan,2014-09-29
Police (Kenya),Make an appeal or request,Government (Kenya),2014-05-05
Saud bin Faisal bin Abdul-Aziz,Host a visit,Organisation of Islamic Cooperation,2014-06-18
Sergey Viktorovich Lavrov,Praise or endorse,John Kerry,2014-01-13
Hassan Joho,Criticize or denounce,Citizen (Kenya),2014-11-07
Citizen (Kenya),Make an appeal or request,Government (Kenya),2014-10-22
Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-03-06
Barack Obama,Make a visit,Fiji,2014-11-23
John Dramani Mahama,Make a visit,Guinea-Bissau,2014-04-11
Police (Philippines),Make statement,Criminal (Philippines),2014-03-10
Philippines,Meet at a 'third' location,Employee (Philippines),2014-03-17
China,Make optimistic comment,Vietnam,2014-02-02
Armed Rebel (Yemen),Use unconventional violence,Citizen (Yemen),2014-02-28
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (United States),2014-10-09
Military Personnel (Afghanistan),Praise or endorse,Military Personnel - Special (Afghanistan),2014-05-24
Citizen (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria),2014-04-18
North Atlantic Treaty Organization,Make pessimistic comment,Military (Russia),2014-04-15
Mohammad Javad Zarif,Make statement,Iran,2014-03-03
Citizen (Kenya),Use unconventional violence,Governor (Kenya),2014-02-04
Member of Parliament (Australia),Use conventional military force,Citizen (Australia),2014-08-26
Joshua Wong,Accuse,Police (Hong Kong),2014-11-27
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-10-07
Citizen (Nigeria),Criticize or denounce,Head of Government (Nigeria),2014-07-24
Afghanistan,Host a visit,John Kerry,2014-08-03
Victor Ponta,Make a visit,Romania,2014-11-07
Foreign Affairs (Ukraine),Consult,Foreign Affairs (Russia),2014-06-20
Gen Prayut Chan-o-cha,Make statement,Thailand,2014-12-29
Xi Jinping,Make statement,China,2014-07-05
Protester (Hong Kong),"Protest violently, riot",Police (Hong Kong),2014-09-29
Nuri al-Maliki,Express intent to meet or negotiate,Iran,2014-11-11
Nasser Judeh,Consult,John Kerry,2014-02-19
Oluṣẹgun Ọbasanjọ,Consult,Royal Administration (Nigeria),2014-02-20
Iran,Sign formal agreement,Cabinet / Council of Ministers / Advisors (United States),2014-07-15
State Security Service,"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-09-15
Antonis Samaras,Consult,Evangelos Venizelos,2014-12-05
African Union,Make a visit,Ethiopia,2014-02-01
