head,relation,tail,time
John Kerry,Consult,Pavlo Klimkin,2014-06-25
Joseph Robinette Biden,Discuss by telephone,Head of Government (Cyprus),2014-10-31
Ibrahim Shekarau,Express intent to cooperate,Attahiru Dalhatu Bafarawa,2014-01-27
Awami (People's) League,Express intent to cooperate,Bangladesh Nationalist Party,2014-01-10
Mohammad Javad Zarif,Express intent to meet or negotiate,Catherine Ashton,2014-10-08
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-08-11
Association of Southeast Asian Nations,Consult,China,2014-06-25
Iran,Praise or endorse,Nuri al-Maliki,2014-08-26
Armed Forces of the Republic of Armenia,Consult,Military Personnel (Armenia),2014-08-15
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-28
Japan,Criticize or denounce,China,2014-05-19
Head of Government (Tajikistan),Consult,Head of Government (Pakistan),2014-06-18
Malaysia,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-12-01
Mohammad Javad Zarif,Make statement,Iran,2014-03-09
Iran,Engage in diplomatic cooperation,Japan,2014-12-25
Faruk Celik,Engage in negotiation,Republican People's Party,2014-05-21
Vladimir Konstantinov,Consult,Dmitriy Kiselev,2014-04-22
Sergey Viktorovich Lavrov,Engage in negotiation,Peter Szijjarto,2014-11-21
Iran,Express intent to meet or negotiate,Catherine Ashton,2014-04-07
Angela Merkel,Praise or endorse,Antonis Samaras,2014-04-12
Benjamin Netanyahu,Express intent to cooperate,Yair Lapid,2014-09-24
John Kerry,Consult,Abdullah Abdullah,2014-08-09
China,Express intent to meet or negotiate,South Africa,2014-06-18
Iraq,Make a visit,Barack Obama,2014-08-11
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-12-02
Mahinda Rajapaksa,Consult,M.R. Sharma,2014-10-28
Slavko Linic,Reduce relations,Citizen (Croatia),2014-02-01
Japan,Express intent to meet or negotiate,South Korea,2014-04-13
David Choquehuanca,Consult,Presidential Candidate (Bolivia),2014-03-12
Police (Canada),Make statement,Canada,2014-08-15
François Hollande,Make statement,France,2014-03-19
Ashraf Ghani Ahmadzai,Make statement,Abdullah Abdullah,2014-08-10
Sergey Viktorovich Lavrov,Make an appeal or request,John Kerry,2014-04-11
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-04-19
François Hollande,Make statement,Angela Merkel,2014-05-12
Police (Philippines),Make statement,Criminal (Philippines),2014-09-10
Police (South Africa),Discuss by telephone,Murderer (South Africa),2014-04-09
Oman,Express intent to cooperate,Iran,2014-12-01
John Kerry,Make a visit,Abdel Fattah Al-Sisi,2014-06-23
South Korea,Engage in diplomatic cooperation,China,2014-01-01
Raheel Sharif,Engage in negotiation,Ashraf Ghani Ahmadzai,2014-12-17
Al-Shabaab,Use conventional military force,Somali National Army,2014-06-14
Romania,Consult,Iran,2014-04-29
Citizen (Kenya),Criticize or denounce,Hassan Joho,2014-08-06
Government (Syria),Accuse,Militant (Syria),2014-11-21
Police (Philippines),Make statement,Philippines,2014-02-21
Government (Croatia),Make statement,Ministry (Croatia),2014-11-13
Vietnam,Engage in negotiation,Military Personnel (United States),2014-08-14
Court Judge (Nigeria),Make statement,Member of the Judiciary (Nigeria),2014-06-06
Ministry (Iran),Make statement,Iran,2014-09-03
Ministry (South Africa),Make an appeal or request,South Africa,2014-09-07
Nuri al-Maliki,Consult,Iran,2014-11-10
Iraq,Consult,Iran,2014-12-14
South Korea,Express intent to meet or negotiate,Japan,2014-02-17
China,Consult,Royal Administration (Jordan),2014-11-13
Vietnam,Engage in diplomatic cooperation,Japan,2014-09-09
Citizen (Kenya),Make an appeal or request,Government (Kenya),2014-03-25
Foreign Affairs (Russia),Make statement,North Atlantic Treaty Organization,2014-12-25
Victor Ponta,Make statement,Romania,2014-03-04
Japan,Criticize or denounce,North Korea,2014-03-03
Mohammad Javad Zarif,Make statement,Iran,2014-01-25
Congress (United States),Consult,Sergio Massa,2014-03-28
Saud bin Faisal bin Abdul-Aziz,Discuss by telephone,Sergey Viktorovich Lavrov,2014-06-09
City Mayor (Greece),Discuss by telephone,Agence France-Presse,2014-02-03
Uhuru Muigai Kenyatta,Make an appeal or request,Citizen (Kenya),2014-12-16
Business (Croatia),Consult,Government (Croatia),2014-03-25
Hamas,Make statement,"Government (Palestinian Territory, Occupied)",2014-12-01
Barack Obama,Consult,Benjamin Netanyahu,2014-10-10
Mohammad Javad Zarif,Consult,John Kerry,2014-11-21
Presidential Aide (Kazakhstan),Consult,UN Security Council,2014-12-23
Lloyd Austin,Engage in negotiation,High Ranking Military Personnel (Pakistan),2014-02-19
Islam Karimov,Express intent to meet or negotiate,Tajikistan,2014-09-10
Nguyen Xuan Phuc,Consult,Iran,2014-10-15
Japan,Make statement,South Korea,2014-06-20
Malaysia,Consult,Ng Eng Hen,2014-04-14
Government (United States),Engage in negotiation,Iran,2014-12-11
Foreign Affairs (Ethiopia),Engage in negotiation,Foreign Affairs (Namibia),2014-07-31
Burundi,Engage in diplomatic cooperation,Iran,2014-03-03
John Kerry,Discuss by telephone,Fumio Kishida,2014-01-21
Japan,Consult,Royal Administration (Saudi Arabia),2014-02-25
Raheel Sharif,Consult,Head of Government (Afghanistan),2014-11-14
Mohamed Ould Abdel Aziz,"Declare truce, ceasefire",Head of Government (Mauritania),2014-06-09
Kazakhstan,Engage in diplomatic cooperation,China,2014-03-19
Citizen (Australia),Make an appeal or request,Police (Australia),2014-07-05
Election Commission (India),Express intent to meet or negotiate,Citizen (India),2014-07-14
Victor Ponta,Make statement,Romania,2014-01-21
Foreign Affairs (Russia),Consult,Representatives (Russia),2014-07-02
Chief Court Judge (Angola),Sign formal agreement,Member of the Judiciary (Brazil),2014-08-29
Milos Zeman,Consult,Helena Valkova,2014-02-25
North Korea,Threaten,South Korea,2014-06-21
Uhuru,Consult,Alfred Mutua,2014-11-19
Angela Merkel,Engage in negotiation,Arseniy Yatsenyuk,2014-02-17
Taiwan Affairs Office,Make statement,Xi Jinping,2014-11-27
Malaysia,Host a visit,China,2014-03-27
African Union,Consult,Detainee (South Sudan),2014-01-21
Head of Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-07-09
Tajikistan,Consult,Iran,2014-02-06
China,Express intent to cooperate,Japan,2014-11-10
Vanguard,Consult,Business (Ghana),2014-07-16
Japan,Express intent to meet or negotiate,South Korea,2014-04-15
Barnaba Marial Benjamin,Consult,Foreign Affairs (Russia),2014-05-14
Cristina Fernández de Kirchner,Consult,Pope Francis,2014-03-17
South Korea,Sign formal agreement,China,2014-09-06
Benjamin Netanyahu,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-07-23
North Korea,Make an appeal or request,South Korea,2014-11-16
John Baird,Consult,Julie Bishop,2014-10-22
Iran,Sign formal agreement,Iraq,2014-03-09
Mohammad Javad Zarif,Make statement,Iran,2014-11-18
Julie Bishop,Engage in negotiation,Frank Bainimarama,2014-11-02
Iraq,Engage in negotiation,Nuri al-Maliki,2014-01-06
José Miguel Insulza,Consult,John Kerry,2014-09-07
North Atlantic Treaty Organization,Meet at a 'third' location,Barack Obama,2014-09-07
North Atlantic Treaty Organization,Consult,Ashraf Ghani Ahmadzai,2014-11-11
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-11-23
Miroslav Lajcak,Engage in negotiation,Pham Binh Minh,2014-11-04
Arseniy Yatsenyuk,Consult,Party of Regions,2014-03-27
Chibuike Rotimi Amaechi,Criticize or denounce,Government (Nigeria),2014-10-09
Zheng Zeguang,Consult,Canada,2014-09-02
Sergey Viktorovich Lavrov,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States),2014-10-24
Macky Sall,Consult,Angela Merkel,2014-04-02
Benjamin Netanyahu,Accuse,Hamas,2014-06-16
Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014-10-30
South Korea,Engage in diplomatic cooperation,Japan,2014-06-30
Police (Australia),fight with small arms and light weapons,Citizen (Australia),2014-11-26
France,Engage in diplomatic cooperation,Iran,2014-10-08
Association of Southeast Asian Nations,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2014-10-07
Government (Nigeria),Accuse,Citizen (Nigeria),2014-10-20
Citizen (India),Express intent to meet or negotiate,Member of Parliament (India),2014-06-08
Legislature (Romania),Consult,Senate (Romania),2014-01-27
Governor (Russia),Consult,Legislature (Russia),2014-12-05
Bandar bin Sultan,Consult,Central Intelligence Agency,2014-03-09
Company - Owner or Operator (Egypt),Consult,Umar al Bashir,2014-10-19
Mauritania,Engage in diplomatic cooperation,Romania,2014-04-07
Barack Obama,Consult,Abdel Fattah Al-Sisi,2014-06-23
Vietnam,Make an appeal or request,China,2014-06-14
Iran,Engage in negotiation,UN Security Council,2014-08-04
Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-02-17
Assemblies (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-01-27
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-25
Military (Vietnam),Consult,Other Authorities / Officials (Vietnam),2014-07-10
Government (Nigeria),Praise or endorse,Citizen (Nigeria),2014-08-12
South Korea,Reject,North Korea,2014-01-26
North Atlantic Treaty Organization,Consult,Chief of Staff (Georgian Armed Forces),2014-02-11
Militant (Boko Haram),Use unconventional violence,Citizen (Nigeria),2014-06-04
Head of Government (Nigeria),Make statement,Government (Nigeria),2014-09-08
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-03-31
Citizen (Nigeria),Accuse,Other Authorities / Officials (Nigeria),2014-10-27
François Hollande,Make statement,France,2014-09-19
Kim Jong-Un,Engage in symbolic act,Citizen (North Korea),2014-04-15
Citizen (India),Make an appeal or request,Election Commission (India),2014-05-02
Japan,Make an appeal or request,South Korea,2014-02-18
Japan,Accuse,China,2014-02-02
International Monetary Fund,Consult,Arseniy Yatsenyuk,2014-12-13
Catherine Ashton,Meet at a 'third' location,Iran,2014-06-03
Foreign Affairs (Russia),Consult,Foreign Affairs (Syria),2014-01-09
Canada,Investigate,Police (Canada),2014-07-17
Citizen (Nigeria),Use unconventional violence,Boko Haram,2014-12-19
Member of Parliament (Iraq),Consult,Massoud Barzani,2014-07-17
South Korea,Express intent to meet or negotiate,John Kerry,2014-02-13
Citizen (India),Accuse,Bhupinder Singh Hooda,2014-07-29
Denis Napthine,Make statement,Member of Parliament (Australia),2014-08-31
John Kerry,Express intent to cooperate,Ashraf Ghani Ahmadzai,2014-07-21
Citizen (India),Complain officially,Medical Personnel (India),2014-05-08
China,Engage in diplomatic cooperation,Iran,2014-07-11
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-08-16
Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-09-19
Defense / Security Ministry (Slovakia),Express intent to cooperate,Ministry (Poland),2014-04-08
Sergio Massa,Consult,Senate (Argentina),2014-11-15
Niger,Express intent to cooperate,Cameroon,2014-05-17
Radoslaw Sikorski,Consult,Jacek Rostowski,2014-06-24
Abdullah Abdullah,Consult,Ashraf Ghani Ahmadzai,2014-12-21
Foreign Affairs (Argentina),Discuss by telephone,Pope Francis,2014-05-23
Raheel Sharif,Consult,Military Personnel (United States),2014-12-08
Canada,Consult,France,2014-10-23
John Kerry,Consult,Foreign Affairs (Ukraine),2014-03-25
Court Judge (India),Make an appeal or request,Citizen (India),2014-09-16
Nicos Anastasiades,Consult,Kyriakos Gerontopoulos,2014-08-26
John Kerry,Consult,Pietro Parolin,2014-01-16
Citizen (Kenya),Accuse,Government (Kenya),2014-03-04
Haider Al-Abadi,Consult,Saud bin Faisal bin Abdul-Aziz,2014-12-05
National Council for Peace and Order of Thailand,Engage in symbolic act,Citizen (Thailand),2014-07-01
North Korea,Make an appeal or request,South Korea,2014-01-16
Ashraf Ghani Ahmadzai,Make statement,Election Commission (Afghanistan),2014-05-15
Sergey Viktorovich Lavrov,Express intent to cooperate,Radoslaw Sikorski,2014-06-11
Mexico,Express intent to meet or negotiate,Colombia,2014-01-28
Foreign Affairs (United States),Consult,Ashraf Ghani Ahmadzai,2014-07-03
Sankei,Consult,Rights Activist (Simon Wiesenthal Center),2014-12-06
Citizen (India),Make an appeal or request,Military Personnel (India),2014-03-03
Police (Ukraine),Make statement,Head of Government (Ukraine),2014-07-24
Kazakhstan,Engage in diplomatic cooperation,Iran,2014-09-08
Militant (Iraq),Use unconventional violence,Militia (Iraq),2014-10-11
United Arab Emirates,Sign formal agreement,Iran,2014-01-23
John Kerry,Consult,Iraq,2014-09-11
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-07-15
Rauf Aregbesola,Make an appeal or request,Citizen (Nigeria),2014-07-23
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-03-12
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-11-20
Citizen (India),Make an appeal or request,Shivraj Patil,2014-09-16
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-09-15
Muhammadu Buhari,Make statement,John Odigie-Oyegun,2014-12-18
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-04-17
Nuri al-Maliki,Make statement,Iraq,2014-08-27
John Kerry,Consult,Ashraf Ghani Ahmadzai,2014-07-12
Citizen (Kenya),Accuse,Governor (Kenya),2014-01-14
Citizen (Kenya),Bring lawsuit against,Government (Kenya),2014-10-09
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-04-02
Campbell Newman,Make statement,Police (Australia),2014-07-07
Barack Obama,Express intent to meet or negotiate,Japan,2014-02-13
François Hollande,Discuss by telephone,Angela Merkel,2014-05-30
Head of Government (Ukraine),Consult,Federica Mogherini,2014-12-16
North Korea,Criticize or denounce,UN Security Council,2014-07-19
North Atlantic Treaty Organization,Make statement,Barack Obama,2014-09-05
Joseph Robinette Biden,Discuss by telephone,UAE Armed Forces,2014-10-05
Criminal (Philippines),fight with small arms and light weapons,Police (Philippines),2014-01-09
Police (Egypt),Engage in material cooperation,Government Lawyer/Representative (Egypt),2014-01-27
François Hollande,Consult,Ministry (France),2014-05-26
Government Affiliated Bank (Thailand),Consult,Media (Thailand),2014-03-14
Poland,Engage in negotiation,France,2014-02-20
Citizen (India),Make an appeal or request,Employee (India),2014-09-16
Governor (India),Consult,Company - Owner or Operator (India),2014-10-17
City Mayor (Italy),Consult,Abdullah Gül,2014-01-29
Sudan,Sign formal agreement,South Sudan,2014-11-05
South Korea,Express intent to meet or negotiate,North Korea,2014-03-07
Muslim (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-06-09
Akitaka Saiki,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-04-15
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-14
Iraq,Make an appeal or request,Nuri al-Maliki,2014-01-13
Barack Obama,Consult,North Atlantic Treaty Organization,2014-09-05
Ministry (Sri Lanka),Consult,Wang Yang,2014-07-02
Governor (India),Make an appeal or request,Citizen (India),2014-02-28
Iran,Consult,France,2014-09-19
Armenia,Express intent to meet or negotiate,Kazakhstan,2014-12-23
Islam Karimov,Consult,Ministry of Public Security (China),2014-12-01
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-03-30
Angela Merkel,Express intent to meet or negotiate,Arseniy Yatsenyuk,2014-08-22
Police (Kenya),Make statement,Government (Kenya),2014-03-10
Iran,Express intent to meet or negotiate,Catherine Ashton,2014-03-17
Head of Government (Egypt),Consult,Abdel Fattah Al-Sisi,2014-11-23
Military Personnel (United States),Consult,Cambodia,2014-08-20
Alexander Vershbow,Make statement,North Atlantic Treaty Organization,2014-05-12
Malaysia,Consult,China,2014-05-06
Philippines,Engage in diplomatic cooperation,Japan,2014-06-24
South Korea,Consult,Japan,2014-07-20
Other Authorities / Officials (Nigeria),Consult,Emmanuel Eweta Uduaghan,2014-07-25
Malaysia,Sign formal agreement,China,2014-04-07
Foreign Affairs (Russia),Consult,Foreign Affairs (Syria),2014-01-15
China,Make optimistic comment,Japan,2014-12-16
Japan,Host a visit,Vietnam,2014-07-16
China,Engage in diplomatic cooperation,Guinea,2014-05-20
Milan Chovanec,Make statement,Milos Zeman,2014-01-22
National Liberal Party,Make statement,Klaus Johannis,2014-10-17
John Kerry,Engage in negotiation,Sergey Viktorovich Lavrov,2014-05-30
Lawyer/Attorney (Kenya),Demand,Citizen (Kenya),2014-07-16
John Kerry,Make statement,Sergey Viktorovich Lavrov,2014-03-18
Ministry (Turkey),Consult,Foreign Affairs (Norway),2014-01-21
Iran,Engage in diplomatic cooperation,Qatar,2014-12-08
Martin Lidegaard,Express intent to cooperate,Philip Hammond,2014-09-18
Yasir Arafat,Sign formal agreement,Yitzhak Rabin,2014-01-18
Akali Leader,Consult,Labor Union (India),2014-05-20
Sergey Viktorovich Lavrov,Meet at a 'third' location,John Kerry,2014-01-31
Laos,Cooperate economically,Thailand,2014-12-12
Raúl Castro,Make statement,Barack Obama,2014-12-17
Media (India),Consult,Jitan Ram Manjhi,2014-10-11
Lawyer/Attorney (Australia),Demand,Citizen (Australia),2014-09-05
Vietnam,Demand,China,2014-05-27
Government Official (Syria),Engage in negotiation,Representatives (Syria),2014-05-03
Other Authorities / Officials (Haiti),Engage in negotiation,Government (Bahamas),2014-05-07
Member of Legislative (Govt) (Iran),Make statement,Iran,2014-05-04
Murtala Nyako,Accuse,Citizen (Nigeria),2014-07-01
Sheikh Hamad bin Isa al Khalifah,Consult,Joseph Robinette Biden,2014-06-24
Police (Ukraine),Make statement,Protester (Ukraine),2014-02-19
Didier Burkhalter,Consult,Taavi Rõivas,2014-08-25
China,Consult,John Kerry,2014-10-17
Romania,Consult,Marziyeh Afkham,2014-05-01
Citizen (Kenya),Make an appeal or request,Governor (Kenya),2014-03-25
Citizen (India),Make an appeal or request,Shivraj Patil,2014-01-09
Joseph Robinette Biden,Consult,Iraq,2014-06-19
Member of the Judiciary (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-07-17
Angola,Engage in diplomatic cooperation,Guinea,2014-05-28
Police (Kenya),Make an appeal or request,Government (Kenya),2014-09-26
Arseniy Yatsenyuk,Consult,Other Authorities / Officials (United States),2014-03-14
Sushil Koirala,Consult,China,2014-06-06
Sergey Kuzhugetovich Shoygu,Consult,Chuck Hagel,2014-08-17
Undersecretary (Sudan),Consult,Ona,2014-12-17
Jean Qahwaji,Engage in negotiation,Defense / Security Ministry (United States),2014-12-12
Massoud Barzani,Discuss by telephone,Joseph Robinette Biden,2014-07-13
Mohammad Javad Zarif,Discuss by telephone,Abu Bakr Abdullah al-Qirbi,2014-01-18
Umar al Bashir,Consult,Royal Administration (Saudi Arabia),2014-10-10
Victor Ponta,Make statement,Romania,2014-08-18
China,Host a visit,Chuck Hagel,2014-04-04
Barack Obama,Praise or endorse,Xi Jinping,2014-04-09
Iraq,Make statement,Nuri al-Maliki,2014-07-11
China,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States),2014-12-22
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Catherine Ashton,2014-10-14
Other Authorities / Officials (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-19
Xi Jinping,Consult,Yasuo Fukuda,2014-08-03
China,Sign formal agreement,France,2014-01-28
Blogger (China),Consult,John Kerry,2014-05-31
South Korea,Sign formal agreement,Canada,2014-03-15
Public Prosecutor (Thailand),Express intent to cooperate,Citizen (Thailand),2014-12-25
Elmar Mammadyarov,Consult,Sergey Viktorovich Lavrov,2014-06-18
Citizen (Kenya),Reduce relations,Government (Kenya),2014-02-05
Citizen (India),Rally opposition against,Medical Personnel (India),2014-12-23
South Korea,Express intent to meet or negotiate,China,2014-05-22
Police (Tanzania),Demand,Citizen (Tanzania),2014-09-29
Legislature (Lebanon),Consult,Nabih Berri,2014-08-06
Iran,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-09-15
Al Jazeera,Make statement,Foreign Affairs (United States),2014-04-05
Mohammad Javad Zarif,Express intent to meet or negotiate,Catherine Ashton,2014-09-14
China,Host a visit,Malaysia,2014-03-17
Sergey Viktorovich Lavrov,Consult,Ri Su Yong,2014-10-01
Foreign Affairs (United States),Make a visit,Middle East,2014-09-12
John Kerry,Engage in negotiation,Sergey Viktorovich Lavrov,2014-05-09
Japan,Express intent to cooperate,South Korea,2014-11-22
Japan,Use conventional military force,Military (China),2014-09-18
Kazakhstan,Express intent to meet or negotiate,Iran,2014-09-17
Catherine Ashton,Consult,Iran,2014-03-10
Iran,Consult,Hamas,2014-12-17
Main Opposition (Turkey),Consult,Abdullah Gül,2014-01-17
Amal Movement,Express intent to engage in diplomatic cooperation (such as policy support),Military (Lebanon),2014-03-24
Barack Obama,Make statement,Japan,2014-10-15
Xi Jinping,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-02-15
Imran Khan,Make optimistic comment,Tahirul Qadri,2014-08-18
Citizen (Nigeria),Criticize or denounce,Rauf Aregbesola,2014-10-31
Representatives (Nigeria),Consult,Indigenous People (Nigeria),2014-07-17
Myanmar,Express intent to cooperate,Thailand,2014-10-17
Foreign Affairs (United States),Consult,Foreign Affairs (South Korea),2014-10-31
Defense / Security Ministry (Slovakia),Consult,Defense / Security Ministry (Cyprus),2014-06-27
Tajikistan,Express intent to engage in diplomatic cooperation (such as policy support),Afghanistan,2014-03-26
Media (India),Consult,Head of Government (India),2014-09-30
Alpha Condé,Consult,Barack Obama,2014-09-26
Police (Australia),Accuse,Citizen (Australia),2014-05-15
South Korea,Consult,Japan,2014-04-05
Japan,Make pessimistic comment,North Korea,2014-07-04
Barack Obama,Host a visit,Benjamin Netanyahu,2014-03-01
Islam Karimov,Express intent to cooperate,Xi Jinping,2014-08-21
Employee (India),Accuse,Citizen (India),2014-12-11
Vitali Klitschko,Consult,John Kerry,2014-02-02
Abdiweli Sheikh Ahmed,Consult,Head of Government (Ethiopia),2014-06-12
Toomas Hendrik Ilves,Consult,Joseph Robinette Biden,2014-03-04
Government (United States),Engage in negotiation,Guatemala,2014-08-07
Steffen Seibert,Make statement,Angela Merkel,2014-11-07
Ethiopia,Consult,John Kerry,2014-05-02
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-12-02
International Monetary Fund,Express intent to cooperate,Serbia,2014-11-27
Abdullah Abdullah,Make statement,Afghanistan,2014-09-25
Teshome Togo,Consult,Willem-Alexander,2014-03-07
Chang Wanquan,Consult,Chuck Hagel,2014-04-08
Mohammad Javad Zarif,Express intent to meet or negotiate,John Kerry,2014-11-24
South Africa,Express intent to meet or negotiate,China,2014-04-26
Japan,Express intent to meet or negotiate,South Korea,2014-07-12
Citizen (Nigeria),Criticize or denounce,Court Judge (Nigeria),2014-01-03
Abu Bakr Abdullah al-Qirbi,Consult,Foreign Affairs (United States),2014-04-17
Citizen (Nigeria),Make an appeal or request,Muslim (Nigeria),2014-05-12
Oluṣẹgun Ọbasanjọ,Consult,Member of Legislative (Govt) (Nigeria),2014-02-24
Benjamin Netanyahu,Consult,Barack Obama,2014-07-27
Head of Government (Nigeria),Make statement,Government (Nigeria),2014-08-20
Myanmar,Express intent to cooperate,Japan,2014-01-30
China,Consult,South Korea,2014-04-05
Citizen (Kenya),Accuse,Police (Kenya),2014-01-15
Police (Canada),Make statement,Canada,2014-10-15
Ashraf Ghani Ahmadzai,Sign formal agreement,Abdullah Abdullah,2014-08-09
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-06-27
Bahrain,Consult,Shura Council,2014-02-06
Elmar Brok,Express intent to meet or negotiate,Yulia Tymoshenko,2014-02-24
Barack Obama,Sign formal agreement,Head of Government (Afghanistan),2014-02-25
Tuvalu,Sign formal agreement,Fiji,2014-10-18
Morocco,Sign formal agreement,Guinea,2014-03-04
Head of Government (Egypt),Make a visit,Sudan,2014-06-27
Qatar,Praise or endorse,Hamas,2014-08-01
Rauf Aregbesola,Make statement,Government (Nigeria),2014-05-02
Foreign Affairs (India),Consult,Afghanistan,2014-06-01
North Korea,Make pessimistic comment,Citizen (North Korea),2014-05-28
Macky Sall,Make an appeal or request,Head of Government (Senegal),2014-05-16
Uhuru Muigai Kenyatta,Demand,Citizen (Kenya),2014-06-02
Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-25
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-04-22
Court Judge (Nigeria),"Return, release person(s)",Citizen (Nigeria),2014-10-13
Abdullah Abdullah,Sign formal agreement,Ashraf Ghani Ahmadzai,2014-08-22
Sierra Leone,Express intent to meet or negotiate,Guinea,2014-08-01
Emmanuel Eweta Uduaghan,Make an appeal or request,Citizen (Nigeria),2014-04-22
Foreign Affairs (Russia),Discuss by telephone,John Kerry,2014-12-12
Prayuth Chan-ocha,Consult,Naval (Thailand),2014-01-23
Government (Nigeria),Make statement,Chibuike Rotimi Amaechi,2014-06-11
Agence France-Presse,Discuss by telephone,Mustafa Dzhemilev,2014-03-13
John Kerry,Engage in negotiation,Joseph Kabila,2014-05-05
Ministry (Iran),Make statement,Iran,2014-03-07
Yair Lapid,Criticize or denounce,Benjamin Netanyahu,2014-06-09
Xi Jinping,Consult,Head of Government (China),2014-05-31
Legislature (Iraq),Engage in diplomatic cooperation,Legislature (Lebanon),2014-11-21
Head of Government (Kenya),Make statement,Uhuru Muigai Kenyatta,2014-06-30
Japan,Make pessimistic comment,China,2014-04-07
Employee (India),Accuse,Citizen (India),2014-07-28
Head of Government (India),Express intent to meet or negotiate,Citizen (India),2014-06-13
Benjamin Netanyahu,Consult,Barack Obama,2014-10-01
Sheikh Hasina Wajed,Consult,Xi Jinping,2014-06-11
Isatou Njie-Saidy,Consult,International Monetary Fund,2014-04-02
Didier Burkhalter,Discuss by telephone,Sergey Viktorovich Lavrov,2014-01-27
Martin Lidegaard,Consult,Legislature (Russia),2014-03-27
François Hollande,Express intent to meet or negotiate,France,2014-08-03
North Korea,Express intent to meet or negotiate,South Korea,2014-02-13
Abdel Fattah Al-Sisi,Consult,Head of Government (Ethiopia),2014-06-30
North Korea,Host a visit,South Korea,2014-07-02
France,Make a visit,Iran,2014-05-17
South Africa,Meet at a 'third' location,China,2014-07-15
Head of Government (India),Accuse,Citizen (India),2014-04-25
Other Authorities / Officials (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-05-20
Benjamin Netanyahu,Consult,Barack Obama,2014-10-03
Foreign Affairs (Chile),Sign formal agreement,Armenia,2014-07-14
Angola,Consult,Governor (Angola),2014-08-18
Monastery (Thailand),Make an appeal or request,Citizen (Thailand),2014-01-29
Sudan,Consult,Niger,2014-05-30
Party Member (Zambia),Consult,Michael Sata,2014-06-23
Medical Personnel (Australia),Reject,Citizen (Australia),2014-11-17
Citizen (Australia),Engage in symbolic act,Warren Truss,2014-06-26
Malaysia,Express intent to cooperate,Thailand,2014-09-12
Military Personnel (Kenya),Make statement,Police (Kenya),2014-05-29
Thailand,Cooperate economically,Laos,2014-12-12
Haider Al-Abadi,Consult,Foreign Affairs (Belgium),2014-12-03
Citizen (Yemen),Use unconventional violence,Armed Rebel (Yemen),2014-12-14
Student (Hong Kong),Make an appeal or request,Protester (Hong Kong),2014-10-21
Iran,Sign formal agreement,Portugal,2014-11-09
Iran,Engage in diplomatic cooperation,France,2014-09-24
Citizen (India),Threaten,Employee (India),2014-09-03
Mukhtar Ramalan Yero,Consult,Indigenous People (Nigeria),2014-10-16
Shimon Peres,Consult,Zhang Dejiang,2014-04-09
Thailand,Consult,Malaysia,2014-09-09
Iran,Engage in diplomatic cooperation,Djibouti,2014-11-22
China,Engage in negotiation,South Korea,2014-09-04
Citizen (Nigeria),Make an appeal or request,Chibuike Rotimi Amaechi,2014-01-24
Police (Australia),fight with small arms and light weapons,Citizen (Australia),2014-02-13
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Catherine Ashton,2014-11-07
