head,relation,tail
China,Investigate,France
Head of Government (Mexico),Make a visit,United Arab Emirates
Afghanistan,Host a visit,Yunus Qanuni
Japan,Express intent to meet or negotiate,Association of Southeast Asian Nations
Citizen (Nigeria),Praise or endorse,Government (Nigeria)
Grand Duke Henri,Make a visit,Poland
Kuwait,Host a visit,John Kerry
High Ranking Military Personnel (United Arab Emirates),Make statement,Government (United Arab Emirates)
South Korea,Host a visit,Daniel Russel
International Court of Justice,Meet at a 'third' location,Evo Morales
Citizen (Hungary),Express intent to engage in diplomatic cooperation (such as policy support),Viktor Orban
Guerrilla (Colombia),Express intent to meet or negotiate,Colombia
Guatemala,Consult,Barack Obama
Iran,Provide military aid,Iraq
Abdullah Abdullah,Consult,Mohammad Mohaqiq
South Africa,Demand,Foreign Affairs (Rwanda)
South Africa,Engage in diplomatic cooperation,China
Police (South Korea),Confiscate property,South Korea
Election Commission (Afghanistan),Demand,Party Member (Afghanistan)
Employee (India),Sexually assault,Citizen (India)
Protester (Ukraine),"Protest violently, riot",Lawmaker (Ukraine)
Taiwan Affairs Office,Consult,Mainland Affairs Council
France,Consult,Barack Obama
Media Personnel (Australia),Make statement,Police (Australia)
Military (Russia),Consult,Sergey Kuzhugetovich Shoygu
Mamnoon Hussain,Make a visit,China
Angela Merkel,Discuss by telephone,Head of Government (Ukraine)
Police (Indonesia),Engage in material cooperation,Lawyer/Attorney (Indonesia)
Citizen (Nigeria),Use unconventional violence,Assemblies (Nigeria)
South Korea,Sign formal agreement,Barack Obama
Guinea,Host a visit,François Hollande
China,Reduce relations,Philippines
China,Express intent to cooperate,North Korea
North Korea,Make empathetic comment,South Korea
Japan,Reduce relations,South Korea
Government (United States),Accuse,North Korea
Criminal (Tanzania),fight with small arms and light weapons,Citizen (Tanzania)
Balwinder Singh,Accuse,Citizen (India)
Terrorist (Islamic State of Iraq and the Levant),Use unconventional violence,Iraq
Bangladesh Nationalist Party,Accuse,Head of Government (Bangladesh)
Citizen (Czech Republic),Make an appeal or request,Milos Zeman
Foreign Affairs (United States),Make a visit,Labaran Maku
Jitan Ram Manjhi,Criticize or denounce,Citizen (India)
Government (United Arab Emirates),Use conventional military force,Citizen (United Arab Emirates)
"Armed Gang (Palestinian Territory, Occupied)",fight with small arms and light weapons,Police (Israel)
Government (Croatia),Express intent to engage in diplomatic cooperation (such as policy support),Labor Union (Croatia)
Khalid bin Ali Al Khalifa,Praise or endorse,Foreign Affairs (South Korea)
John Kerry,Make an appeal or request,Heraldo Muñoz
Business (Canada),"Defy norms, law",Canada
Miroslav Lajcak,Praise or endorse,Vietnam
Labor Union (India),"Threaten with political dissent, protest",Citizen (India)
United Arab Emirates,Consult,Iran
Mexico,Host a visit,Barack Obama
Government (United Arab Emirates),Engage in symbolic act,Citizen (United Arab Emirates)
Citizen (India),Demonstrate or rally,Rashtriya Swayamsevak Sangh
John Kerry,Express intent to engage in diplomatic cooperation (such as policy support),Iraq
Sheikh Hasina Wajed,Make an appeal or request,Abdul Hamid
Citizen (South Korea),Accuse,South Korea
Police (Kyrgyzstan),"Return, release person(s)",Citizen (Kyrgyzstan)
Thailand,Express intent to cooperate,Malaysia
Citizen (United Kingdom),Make an appeal or request,Lawyer/Attorney (United Kingdom)
Muslim (Syria),Make a visit,Legislature (Iraq)
South Korea,Make a visit,Angola
Citizen (Kenya),Demand,Police (Kenya)
Yulia Tymoshenko,Make statement,Head of Government (Ukraine)
Barack Obama,Praise or endorse,Royal Administration (Saudi Arabia)
China,Host a visit,Vincent Gray
Xi Jinping,Express intent to meet or negotiate,Maldives
Victor Ponta,Praise or endorse,Milos Zeman
Foreign Affairs (United States),Make a visit,Massoud Barzani
The Hague,Host a visit,Uhuru Muigai Kenyatta
Protester (Ukraine),Refuse to yield,Police (Ukraine)
Citizen (Croatia),Criticize or denounce,Ministry (Croatia)
Tzipi Livni,Consult,Benjamin Netanyahu
Sergey Viktorovich Lavrov,Consult,Representatives (Russia)
Head of Government (China),Consult,Thailand
Benjamin Netanyahu,Make a visit,John Kerry
Sergey Kuzhugetovich Shoygu,Make an appeal or request,Chuck Hagel
Sergey Viktorovich Lavrov,Engage in negotiation,Foreign Affairs (Russia)
Vietnam,Make statement,Malaysia
Julius Malema,Make statement,Police (South Africa)
Head of Government (Nigeria),Accuse,Media (Africa)
Reserve Personnel (Iran),Use conventional military force,Terrorist (Islamic State of Iraq and the Levant)
Vietnam,Sign formal agreement,Thailand
Northern Ireland,Make a visit,Ireland
John Kerry,Make an appeal or request,Nuri al-Maliki
Zakir Hasanov,Make a visit,Iran
Police (Ukraine),Express intent to meet or negotiate,Head of Government (Ukraine)
Military Personnel (Thailand),Demand,National Council for Peace and Order of Thailand
North Korea,Engage in negotiation,China
Majid Takht Ravanchi,Express intent to meet or negotiate,Representatives (United States)
Luiz Inacio Lula Da Silva,Criticize or denounce,Citizen (Brazil)
Businessperson (Philippines),Accuse,Employee (Philippines)
Dominican Republic,Express intent to meet or negotiate,Haiti
Medical Personnel (India),Criticize or denounce,Medical Association (India)
Foreign Affairs (Ukraine),Make statement,Dmytro Firtash
Election Commission (India),Make an appeal or request,Citizen (India)
Ministry (Iran),Express intent to meet or negotiate,Iran
Philippines,Threaten,China
China,Reject,UN Security Council
Emma Bonino,Make a visit,Macky Sall
Jakaya Mrisho Kikwete,Make an appeal or request,Citizen (Tanzania)
China,Make statement,Xi Jinping
Governor (Thailand),Engage in symbolic act,Citizen (Thailand)
Bahrain,Engage in diplomatic cooperation,Business (Bahrain)
Abdel Fattah Al-Sisi,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States)
Barack Obama,Make statement,François Hollande
Citizen (Nigeria),Ease administrative sanctions,Government (Nigeria)
Member of Parliament (India),Express intent to cooperate,Citizen (India)
Head of Government (Ukraine),Consult,Joseph Robinette Biden
Colombia,Criticize or denounce,Guerrilla (Colombia)
Antonis Samaras,Make an appeal or request,Lawmaker (Greece)
Xi Jinping,Make a visit,Head of Government (India)
Foreign Affairs (Libya),Make a visit,Shura Council
Citizen (Nigeria),Threaten,Murtala Nyako
Citizen (Thailand),Make an appeal or request,Ministry (Thailand)
Citizen (Georgia),Criticize or denounce,Bachana Akhalaia
Qatar,Consult,Uhuru Muigai Kenyatta
Military (Philippines),Yield,Police (Philippines)
Foreign Affairs (Russia),Make statement,Iran
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Miroslav Lajcak
Iran,Host a visit,Refugee (Afghanistan)
Japan,Investigate,Citizen (North Korea)
Envoy (United States),Express intent to meet or negotiate,South Korea
Media (Africa),Make an appeal or request,Citizen (Sudan)
Iran,Express intent to provide military aid,Iraq
Foreign Affairs (Russia),Consult,China
Barack Obama,"Impose embargo, boycott, or sanctions",Iran
Protester (Indonesia),Demand,Citizen (Indonesia)
Citizen (Australia),Threaten,Police (Australia)
Xi Jinping,Make statement,Barack Obama
John Kerry,Make statement,Ethiopia
Citizen (South Korea),Make an appeal or request,Japan
Citizen (Sudan),Express intent to meet or negotiate,Sudan
Medical Personnel (Nigeria),Yield,Medical Association (Nigeria)
Election Commission (India),Ban political parties or politicians,Citizen (India)
North Atlantic Treaty Organization,Consult,Arseniy Yatsenyuk
Barack Obama,Make pessimistic comment,Iran
Lien Chan,Consult,Xi Jinping
Mohammad Javad Zarif,Engage in negotiation,Media Personnel (Austria)
Nationalist Movement Party,Make an appeal or request,Citizen (Turkey)
Angola,Engage in diplomatic cooperation,Portugal
Military (Thailand),Use tactics of violent repression,Activist (Thailand)
John Kerry,Make a visit,North Atlantic Treaty Organization
Arseniy Yatsenyuk,Express intent to engage in diplomatic cooperation (such as policy support),Angela Merkel
Medical Personnel (Nigeria),Accuse,Citizen (Nigeria)
Fire Brigade (Australia),Make an appeal or request,Citizen (Australia)
Sierra Leone,Host a visit,Nurse (United States)
Police (Egypt),Consult,Defense / Security Ministry (Egypt)
Protester (Pakistan),Consult,Government (Pakistan)
Medical Personnel (Nigeria),Appeal for intelligence,Government (Nigeria)
Drug Gang (Mexico),Use unconventional violence,Student (Mexico)
China,Sign formal agreement,Afghanistan
John Kerry,Make a visit,The Hague
Kuwait,Consult,Foreign Affairs (Kuwait)
People's Democratic Party (Egypt),Make a visit,Edwin Clark
Police (Australia),Use conventional military force,Detainee (Australia)
Ona,Make a visit,Philippines
Citizen (Kenya),Demand,Government (Kenya)
Government (United States),Demand,Takata
Boko Haram,Threaten,Citizen (Nigeria)
China,Consult,Association of Southeast Asian Nations
Mamnoon Hussain,Make statement,Head of Government (Pakistan)
Foreign Affairs (Kuwait),Make statement,Kuwait
Cabinet / Council of Ministers / Advisors (Australia),Consult,Julie Bishop
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Oman
Iraq,Consult,John Kerry
Indigenous People (Kenya),Accuse,Government (Kenya)
Citizen (Kenya),Threaten,Government (Kenya)
Abdullah Abdullah,Express intent to cooperate,Afghanistan
North Korea,Halt negotiations,Envoy (United States)
Thailand,"Arrest, detain, or charge with legal action",National United Front for Democracy Against Dictatorship
Abdelilah Benkirane,Make statement,Morocco
China,Host a visit,Lawmaker (Japan)
Military Personnel (South Korea),Use conventional military force,Citizen (South Korea)
Citizen (India),Make an appeal or request,Salman Khurshid
Iran,Make statement,Oman
Umar al Bashir,Express intent to meet or negotiate,Abdel Fattah Al-Sisi
Joseph Robinette Biden,Consult,United Arab Emirates
China,Host a visit,Afghanistan
Miroslav Lajcak,Make a visit,Arseniy Yatsenyuk
Iran,Host a visit,Jew (North America)
Military (Thailand),Consult,Military Personnel (Thailand)
Egyptian Army,Express intent to engage in material cooperation,Police (Egypt)
Epeli Nailatikau,Consult,Xi Jinping
Philippines,Rally support on behalf of,Police (Philippines)
Criminal (Argentina),Physically assault,Men (Argentina)
China,Sign formal agreement,Gazprom
Police (Israel),Use conventional military force,"Women (Palestinian Territory, Occupied)"
Japan,Engage in diplomatic cooperation,Bahrain
China,Demand diplomatic cooperation (such as policy support),Thailand
Japan,Host a visit,Bahrain
Head of Government (Nigeria),Make statement,Boko Haram
Amnesty International,Appeal for easing of administrative sanctions,National Council for Peace and Order of Thailand
Myanmar,Consult,Cambodia
Grand National Party,Demand,Lawmaker (South Korea)
Xi Jinping,Consult,Vincent C. Siew
China,"Reject plan, agreement to settle dispute",Philippines
Barack Obama,Meet at a 'third' location,François Hollande
Viktor Orban,Engage in symbolic act,György Matolcsy
Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Fumio Kishida
Police (Hong Kong),Use conventional military force,Student Dissident (Hong Kong)
UN Security Council,Accuse,Government (Syria)
Citizen (Hungary),Demonstrate or rally,Viktor Orban
Saud bin Faisal bin Abdul-Aziz,Make statement,Mohammad Javad Zarif
Protester (Pakistan),Demonstrate or rally,Head of Government (Pakistan)
Yulia Tymoshenko,Make an appeal or request,Protester (Ukraine)
Afghanistan,Appeal for diplomatic cooperation (such as policy support),Abdullah Abdullah
John Kerry,Threaten,North Korea
South Korea,Cooperate economically,Japan
Labor Union (Bulgaria),Sign formal agreement,Business (Bulgaria)
Cabinet / Council of Ministers / Advisors (United States),Express intent to cooperate,Afghanistan
South Korea,Host a visit,Pope Francis
Julie Bishop,Make a visit,Iraq
Congress (United States),"Declare truce, ceasefire",Iran
Business (Canada),Demand,Canada
Citizen (Australia),Make an appeal or request,Cabinet / Council of Ministers / Advisors (Australia)
Xi Jinping,Threaten,China
Murderer (Nigeria),Use unconventional violence,Citizen (Nigeria)
Sudan,Demand,Iran
Government (United States),Reject,Citizen (Nigeria)
John Kerry,Make an appeal or request,Joseph Kabila
Citizen (Nigeria),Demonstrate or rally,Education (Nigeria)
Cambodia,Host a visit,Armed Separatist (China)
Japan,Demonstrate military or police power,Vietnam
Iraq,Sign formal agreement,Kuwait
France,Make statement,Iran
Ma Ying Jeou,Consult,House of Representatives (Japan)
William Kabogo,Accuse,Citizen (Kenya)
China,Express intent to cooperate economically,Iran
Human Rights Watch,Make a visit,Colombia
Imran Khan,Make statement,Protester (Pakistan)
Criminal (South Korea),Use unconventional violence,Citizen (South Korea)
Governor (Thailand),Provide humanitarian aid,Citizen (Thailand)
France,Engage in negotiation,Poland
Hezbollah,Express intent to settle dispute,Future Movement
Military (Lebanon),"Arrest, detain, or charge with legal action",Militant (Syria)
Citizen (South Korea),"Conduct suicide, car, or other non-military bombing",South Korea
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Pham Binh Minh
Legislature (Romania),Express intent to meet or negotiate,Senate (Romania)
Uhuru Muigai Kenyatta,Make a visit,Government Official (South Africa)
Iran,Consult,Romania
Foreign Affairs (Russia),Make an appeal or request,Government (Syria)
François Hollande,Discuss by telephone,Massoud Barzani
Joseph Robinette Biden,Make statement,Japan
Education (Iraq),Make statement,Iraq
Salvador Sánchez Cerén,Express intent to meet or negotiate,Joseph Robinette Biden
Legislature (Lesotho),Make a visit,New Zealand
María Ángela Holguín,Consult,John Kerry
Other Authorities / Officials (Egypt),Criticize or denounce,Al Jazeera
Benjamin Martins,Make a visit,The Hague
Citizen (Nigeria),Appeal for intelligence,Other Authorities / Officials (Nigeria)
Attacker (Afghanistan),fight with small arms and light weapons,Military Personnel - Special (Afghanistan)
France,Praise or endorse,Morocco
Barack Obama,Host a visit,UN Security Council
Carrie Lam,Consult,Protester (Hong Kong)
China,Host a visit,Angela Merkel
Industrial / Textiles / Mining Ministry (Vietnam),Make statement,Vietnam
François Hollande,Engage in negotiation,Abdullah Gül
Benjamin Netanyahu,Make an appeal or request,Cabinet / Council of Ministers / Advisors (United States)
Thailand,Express intent to cooperate,Myanmar
South Korea,"Arrest, detain, or charge with legal action",Grand National Party
Ministry (Russia),Consult,Dmitry Anatolyevich Medvedev
China,Host a visit,Head of Government (South Korea)
Ma Ying Jeou,Make statement,Japan
National Alliance (Iraq),Mediate,Iraq
Citizen (Kenya),Appeal for intelligence,Government (Kenya)
Government (Cote d'Ivoire),Make an appeal or request,Citizen (Cote d'Ivoire)
Abdullah Abdullah,Host a visit,Ashraf Ghani Ahmadzai
China,Reduce or stop economic assistance,South Sudan
Oommen Chandy,Make an appeal or request,Citizen (India)
Angela Merkel,Express intent to cooperate,François Hollande
Sergio Massa,Accuse,Presidential Candidate (Argentina)
The Hague,Host a visit,Public Courts (Lebanon)
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Armenia
Xi Jinping,Praise or endorse,Ashraf Ghani Ahmadzai
Militant (Iraq),Use unconventional violence,Iranian Kurds
Simon Gass,Make a visit,Iran
Ministry (France),Criticize or denounce,France
Armed Gang (Afghanistan),Use unconventional violence,Abdullah Abdullah
Cabinet / Council of Ministers / Advisors (United States),Discuss by telephone,Fumio Kishida
Governor (Kenya),Criticize or denounce,Citizen (Kenya)
Party Member (Afghanistan),Make optimistic comment,John Kerry
Sergey Viktorovich Lavrov,Host a visit,Raúl Castro
China,Host a visit,Mohammad Javad Zarif
Thailand,"Arrest, detain, or charge with legal action",Citizen (Malaysia)
Barack Obama,Make statement,UN Security Council
Ruling Party (India),Criticize or denounce,Citizen (India)
Education (Nigeria),Make an appeal or request,Citizen (Nigeria)
France,Engage in diplomatic cooperation,China
Gina McCarthy,Express intent to meet or negotiate,Vietnam
Police (South Africa),Make an appeal or request,Men (South Africa)
Oommen Chandy,Accuse,Media (India)
Activist (Syria),Accuse,Government (Syria)
Catherine Ashton,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (United States)
Medical Association (India),Consult,Medical Personnel (India)
Citizen (Togo),Criticize or denounce,Togo
John Kerry,Express intent to meet or negotiate,Nuri al-Maliki
Guy Scott,Demand change in leadership,Lawmaker (Zambia)
Benjamin Netanyahu,Criticize or denounce,Iran
Jakaya Mrisho Kikwete,Praise or endorse,China
Sheikh Hamad bin Isa al Khalifah,Make a visit,Qatar
Xi Jinping,Demand,South Korea
Iraq,Make an appeal or request,Legislature (Iraq)
Citizen (United Kingdom),"Reject proposal to meet, discuss, or negotiate",North Atlantic Treaty Organization
China,Threaten,Protester (Hong Kong)
Company - Owner or Operator (India),Praise or endorse,Employee (India)
Hamas,Make statement,Qatar
China,Praise or endorse,City Mayor (China)
South African National Defence Force,Investigate,South Africa
Lawyer/Attorney (Philippines),Make statement,Philippines
Mohammad Javad Zarif,Make statement,Mehr News Agency
Prayuth Chan-ocha,Express intent to meet or negotiate,Myanmar
Citizen (Tanzania),Make an appeal or request,Abdulrahman Kinana
Serbia,Host a visit,Enver Hoxhaj
Military (Thailand),"Impose blockade, restrict movement",Thailand
Military (Philippines),Sexually assault,Philippines
Armenia,Express intent to meet or negotiate,Tajikistan
Criminal (Philippines),Make statement,Police (Philippines)
Justice and Development Party,Make statement,Abdullah Gül
Member of Parliament (Australia),Accuse,Citizen (Australia)
Uhuru Muigai Kenyatta,Appeal for intelligence,Citizen (Kenya)
Lawmaker (Japan),Engage in negotiation,Zhang Dejiang
Uhuru Muigai Kenyatta,"Accuse of crime, corruption",Police (Kenya)
Barack Obama,Express intent to de-escalate military engagement,Iraq
China,Express intent to engage in diplomatic cooperation (such as policy support),Angola
Citizen (Brazil),Use unconventional violence,Ministry (Brazil)
Energy Department/Ministry (Iran),Make statement,Iraq
Citizen (Cote d'Ivoire),Make an appeal or request,Military (Cote d'Ivoire)
Sudan,Express intent to cooperate,South Sudan
Member of Parliament (Australia),Make statement,Campbell Newman
Thief (India),Physically assault,Company - Owner or Operator (India)
Mohamed Ould Abdel Aziz,Engage in symbolic act,Ibrahim Boubacar Keïta
Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Philippines
John Kerry,Make a visit,Ireland
Commando (India),Make an appeal or request,Citizen (India)
Philippines,Express intent to engage in diplomatic cooperation (such as policy support),Thailand
South Korea,Reject,Japan
Tzipi Livni,Consult,Yair Lapid
Abu Sayyaf,Use unconventional violence,Military (Philippines)
Election Commission (Afghanistan),Praise or endorse,Presidential Candidate (Afghanistan)
Xi Jinping,Criticize or denounce,North Korea
Citizen (Tanzania),Make an appeal or request,Member of the Judiciary (Tanzania)
Afghanistan,Coerce,Women (Afghanistan)
Thaksin Shinawatra,Make an appeal or request,Citizen (Thailand)
Hamas,Sign formal agreement,Benjamin Netanyahu
Xi Jinping,Demand,Cambodia
Imran Khan,Appeal for change in leadership,Government (Pakistan)
South Africa,Praise or endorse,Guy Scott
South Korea,Make statement,Kim Jong-Un
Thailand,Make statement,Abhisit Vejjajiva
Afghanistan,Host a visit,Barack Obama
Amit Shah,Make statement,Employee (India)
Tehrik-i-Taliban Pakistan,Threaten,Government (Pakistan)
Indigenous People (India),Physically assault,Citizen (India)
Morocco,Host a visit,Head of Government (South Korea)
Police (Canada),Use conventional military force,Canada
Head of Government (Egypt),Make statement,Umar al Bashir
Lawyer/Attorney (South Korea),"Arrest, detain, or charge with legal action",Business (South Korea)
Abdel Fattah Al-Sisi,Praise or endorse,United Arab Emirates
Abdullah Gül,Express intent to meet or negotiate,China
Reuven Rivlin,Express intent to meet or negotiate,Poland
Police (South Korea),Investigate,South Korea
Government (Pakistan),Reject,Imran Khan
Bank (South Africa),Bring lawsuit against,Government (South Africa)
Criminal (Australia),Use unconventional violence,Women (Australia)
Hezbollah,Make an appeal or request,Military (Lebanon)
Hakainde Hichilema,Make statement,Michael Sata
Park Won-soon,Express intent to meet or negotiate,China
John Kerry,Consult,Massoud Barzani
China,Consult,Vietnam
Vitali Klitschko,Sign formal agreement,Protester (Ukraine)
Foreign Affairs (Cote d'Ivoire),Make a visit,Guinea
Barack Obama,Meet at a 'third' location,Benjamin Netanyahu
Armed Gang (Afghanistan),"Abduct, hijack, or take hostage",Ministry (Afghanistan)
Xi Jinping,Sign formal agreement,Head of Government (Egypt)
François Hollande,Express intent to meet or negotiate,Niger
Andrej Kiska,Express intent to meet or negotiate,Poland
Citizen (Nigeria),"Reject proposal to meet, discuss, or negotiate",Congress (Nigeria)
Lawyer/Attorney (Zambia),Ease administrative sanctions,Citizen (Zambia)
Citizen (Nigeria),Appeal for military aid,Government (Nigeria)
Lawyer/Attorney (South Korea),"Arrest, detain, or charge with legal action",Police (South Korea)
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Kazakhstan
Election Commission (India),Consult,M.K. Narayanan
Thailand,Host a visit,Philippines
Sergey Viktorovich Lavrov,Praise or endorse,Ethiopia
Malaysia,Make pessimistic comment,Citizen (Malaysia)
Tajikistan,Praise or endorse,Afghanistan
Umar al Bashir,Express intent to cooperate,Abdel Fattah Al-Sisi
Milos Zeman,Express intent to meet or negotiate,Kazakhstan
François Hollande,Engage in negotiation,Haider Al-Abadi
Opposition Activist (Ukraine),"Protest violently, riot",Police (Ukraine)
Senate (Romania),Make statement,Legislature (Romania)
Iran,Make an appeal or request,UN Security Council
Barack Obama,Make an appeal or request,Mexico
Vojislav Šešelj,Criticize or denounce,Serbia
Election Commission (Afghanistan),Appeal for diplomatic cooperation (such as policy support),Civic Group (Afghanistan)
China,Praise or endorse,Sheikh Hasina Wajed
Barack Obama,Express intent to meet or negotiate,Angela Merkel
Nigerian Governors Forum,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria)
Abdel Fattah Al-Sisi,Consult,Husam Mughazi
Head of Government (Senegal),Praise or endorse,Macky Sall
North Atlantic Treaty Organization,Sign formal agreement,Ashraf Ghani Ahmadzai
Lawyer/Attorney (Indonesia),Accuse,Citizen (Indonesia)
Benjamin Netanyahu,Consult,Cabinet / Council of Ministers / Advisors (Israel)
Citizen (Thailand),Express intent to provide material aid,Villager (Thailand)
Arnaud Montebourg,Consult,François Hollande
Kayode Fayemi,Express intent to cooperate,Citizen (Nigeria)
Citizen (Namibia),Use unconventional violence,Police (Namibia)
South Sudan,Host a visit,Husam Mughazi
Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),Mamnoon Hussain
Police (United States),"Arrest, detain, or charge with legal action",Citizen (United Kingdom)
Cape Verde,Consult,Angola
Yair Lapid,Sign formal agreement,Benjamin Netanyahu
Kuwait,Meet at a 'third' location,United Arab Emirates
Eritrea,Host a visit,Umar al Bashir
North Atlantic Treaty Organization,Express intent to meet or negotiate,Irakli Alasania
France,Host a visit,Serge Lazarevic
Uhuru,Demand change in leadership,Governor (Kenya)
Citizen (Saudi Arabia),Make empathetic comment,Royal Administration (Saudi Arabia)
Angela Merkel,Express intent to meet or negotiate,John Kerry
Citizen (India),"Protest violently, riot",Aam Aadmi Party
Antonis Samaras,Make an appeal or request,Citizen (Greece)
Main Opposition (Turkey),Make an appeal or request,Abdullah Gül
François Hollande,Make a visit,Mexico
Joao Lourenco,Express intent to meet or negotiate,Angola
UN Security Council,Criticize or denounce,Sudan
Philippines,Consult,South Korea
Citizen (Turkey),Accuse,Main Opposition (Turkey)
Mexico,Host a visit,City Mayor (United States)
Barack Obama,Praise or endorse,Ashraf Ghani Ahmadzai
Serbia,Express intent to meet or negotiate,International Monetary Fund
Hamas,Accuse,"Government (Palestinian Territory, Occupied)"
Citizen (Kenya),Express intent to engage in diplomatic cooperation (such as policy support),Government (Kenya)
Pope Francis,Make statement,Middle East
Foreign Affairs (Syria),Consult,Sergey Viktorovich Lavrov
Lawyer/Attorney (Czech Republic),Investigate,Citizen (Czech Republic)
Citizen (India),Express intent to meet or negotiate,Ravi Shankar Prasad
Abdiweli Shaykh Ahmad,Make a visit,Ethiopia
Head of Government (Egypt),Make statement,Court Judge (Egypt)
Government (Nigeria),Consult,Indigenous People (Nigeria)
Maithripala Sirisena,Consult,Tamil National Alliance
Protester (Thailand),Threaten to reduce or stop aid,Thailand
Protester (Turkey),Engage in symbolic act,Citizen (Turkey)
Military Personnel (Philippines),Make statement,Moro Islamic Liberation Front
Iran,Express intent to meet or negotiate,Mexico
Military Personnel (Thailand),Accuse,Citizen (Thailand)
Djoko Suyanto,Express intent to cooperate,Teo Chee Hean
Caroline Kennedy,Express intent to meet or negotiate,Japan
Iran,Consult,Staffan de Mistura
Citizen (South Korea),Accuse,North Korea
Tajikistan,Host a visit,Head of Government (Afghanistan)
Citizen (Turkey),"Abduct, hijack, or take hostage",Military (Turkey)
Xi Jinping,Praise or endorse,North Korea
Protester (Thailand),Make statement,Thailand
Labor Union (Nigeria),Make pessimistic comment,Government (Nigeria)
Citizen (South Korea),Yield,Park Won-soon
Head of Government (Ukraine),Yield,Protester (Ukraine)
Vasundhara Raje,Make an appeal or request,Citizen (India)
South Africa,Host a visit,Julius Malema
Angela Merkel,Consult,Barack Obama
Attacker (Afghanistan),Carry out suicide bombing,National Directorate of Security
Imran Khan,Demand,Government (Pakistan)
Police (South Africa),Impose administrative sanctions,South Africa
Cambodia,Consult,Hun Sen
Government (Pakistan),Engage in negotiation,Tehrik-i-Taliban Pakistan
Education (Israel),Praise or endorse,Israeli Defense Forces
Armed Gang (Libya),Impose administrative sanctions,Employee (Libya)
Citizen (Tanzania),"Conduct suicide, car, or other non-military bombing",Samuel Sitta
Julie Bishop,Praise or endorse,Malaysia
Raheel Sharif,Host a visit,Head of Government (Afghanistan)
Jean-Bertrand Aristide,Make a visit,Haiti
Employee (India),Make an appeal or request,Citizen (India)
Japan,Appeal for judicial cooperation,North Korea
Envoy (United States),Discuss by telephone,Sergey Viktorovich Lavrov
Canada,Host a visit,François Hollande
Thailand,Praise or endorse,China
Armed Rebel (Syria),Occupy territory,Combatant (Al Qaeda)
Citizen (Turkey),Criticize or denounce,Justice and Development Party
Police (Kenya),Use conventional military force,Student (Kenya)
Reserve Personnel (Iran),Mobilize or increase armed forces,Iran
Citizen (Brazil),Demand,Senate (Brazil)
Xi Jinping,Express intent to meet or negotiate,Mahinda Rajapaksa
John Kerry,Make statement,South Sudan
Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Nasser Judeh
China,Engage in diplomatic cooperation,South Sudan
Philippines,Sign formal agreement,Moro Islamic Liberation Front
Mohammad Javad Zarif,Discuss by telephone,Federica Mogherini
Xi Jinping,Consider policy option,Nguyen Phu Trong
François Hollande,Praise or endorse,Iraq
Ashraf Ghani Ahmadzai,Consult,Head of Government (Afghanistan)
Iran,Rally support on behalf of,Iraq
Head of Government (Ukraine),Consult,Barack Obama
Head of Government (Pakistan),Host a visit,Ashraf Ghani Ahmadzai
Joseph Ole Lenku,Demand diplomatic cooperation (such as policy support),Police (Kenya)
Iran,Host a visit,Businessperson (France)
Citizen (Thailand),Make optimistic comment,Protester (Thailand)
Coup D'etat Leader (Thailand),Ease administrative sanctions,Thailand
Tsai Ing-wen,Engage in negotiation,Ma Ying Jeou
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Farm Worker (Nigeria)
Malawi,Host a visit,Manuel Augusto
Philippines,Host a visit,Stefan Viktor Okonek
Murtala Nyako,Make statement,Government (Nigeria)
The Hague,Host a visit,Xi Jinping
Tahirul Qadri,Threaten,Government (Pakistan)
Christine Milne,Make statement,Green Party (Australia)
Mohammad Mohaqiq,Praise or endorse,Iran
Imran Khan,Make statement,Government (Pakistan)
Vasundhara Raje,Reject,Head of Government (India)
Citizen (Nigeria),Use unconventional violence,Indigenous People (Nigeria)
Court Judge (Nigeria),Make empathetic comment,Citizen (Nigeria)
Iran,Consult,Pier Ferdinando Casini
Foreign Affairs (Norway),Make a visit,Abdel Fattah Al-Sisi
Citizen (Turkey),Demonstrate or rally,Joseph Robinette Biden
Foreign Affairs (United States),Make a visit,North Korea
Citizen (India),Demand,Bhupinder Singh Hooda
Citizen (Nigeria),Make an appeal or request,Democratic Party (Nigeria)
Military Personnel (Thailand),Express intent to provide military aid,Thailand
Michael Sata,Express intent to engage in diplomatic cooperation (such as policy support),Party Member (Zambia)
Ethiopia,Engage in diplomatic cooperation,Sudan
Head of Government (India),Demand material cooperation,Citizen (India)
Foreign Affairs (South Africa),Express intent to meet or negotiate,Iran
Japan,Make a visit,William Kabogo
Thailand,Express intent to mediate,Interim Government (Thailand)
