head,relation,tail,time
South Korea,Criticize or denounce,Japan,2014-01-24
Protester (Hong Kong),Demonstrate or rally,Student (Hong Kong),2014-12-02
Court Judge (India),Make an appeal or request,Citizen (India),2014-07-05
Bahrain,Retreat or surrender militarily,Qatar,2014-03-08
China,Host a visit,Head of Government (Afghanistan),2014-10-28
Special Court (Pakistan),Criticize or denounce,Pervez Musharraf,2014-03-31
Dmitry Anatolyevich Medvedev,Discuss by telephone,Head of Government (Ukraine),2014-11-27
North Korea,Make an appeal or request,Japan,2014-06-04
Barack Obama,Express intent to cooperate economically,Haider Al-Abadi,2014-09-08
Lawyer/Attorney (Kenya),Demand,Citizen (Kenya),2014-12-04
China,Threaten,Vietnam,2014-05-13
United Arab Emirates,Praise or endorse,Iraq,2014-12-17
Pope Francis,Express intent to meet or negotiate,South Korea,2014-03-10
John Kerry,Express intent to engage in diplomatic cooperation (such as policy support),Canada,2014-10-27
Uhuru Muigai Kenyatta,Threaten,Citizen (Kenya),2014-11-02
Attacker (Saudi Arabia),Use unconventional violence,Citizen (Saudi Arabia),2014-11-04
Oluṣẹgun Ọbasanjọ,Consult,Military Personnel (Nigeria),2014-09-15
Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014-08-04
North Korea,Make an appeal or request,South Korea,2014-01-20
Police (Australia),Use conventional military force,Citizen (Australia),2014-10-21
Xi Jinping,Make statement,Military (China),2014-03-13
Mohammad Javad Zarif,Make statement,Iran,2014-03-07
Xi Jinping,Make statement,New Zealand,2014-11-21
Cristina Fernández de Kirchner,Make a visit,Pope Francis,2014-09-20
Amnesty International,Criticize or denounce,Police (Hong Kong),2014-10-04
United Arab Emirates,Express intent to release persons or property,Qatar,2014-11-19
Court Judge (India),Make an appeal or request,Citizen (India),2014-07-03
Nestor Shufrych,Discuss by telephone,Volodymyr Konstantynov,2014-02-28
Benjamin Netanyahu,Meet at a 'third' location,John Kerry,2014-12-16
Police (Australia),"Investigate crime, corruption",Citizen (Australia),2014-06-17
Other Authorities / Officials (Nigeria),Demand diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-11-24
South Korea,Criticize or denounce,North Korea,2014-03-25
Sergey Viktorovich Lavrov,Praise or endorse,John Kerry,2014-03-30
North Korea,Accuse,UN Security Council,2014-08-01
Businessperson (United States),Make a visit,Myanmar,2014-08-03
Cristina Fernández de Kirchner,Make statement,Pope Francis,2014-09-20
China,Consult,Ashraf Ghani Ahmadzai,2014-10-30
Citizen (Thailand),Reject,Thailand,2014-07-12
John Kerry,Express intent to meet or negotiate,Afghanistan,2014-08-07
Representatives (Afghanistan),Consult,Ashraf Ghani Ahmadzai,2014-05-27
John Kerry,Express intent to meet or negotiate,Abdel Fattah Al-Sisi,2014-06-22
Chuck Hagel,Make an appeal or request,Military (Russia),2014-03-20
Iraq,Consult,Barack Obama,2014-06-19
China,Praise or endorse,Iraq,2014-02-25
John Kerry,Threaten,China,2014-02-15
Protester (Thailand),Reject,Citizen (Thailand),2014-01-14
Japan,Consult,South Korea,2014-04-17
China,Praise or endorse,North Korea,2014-05-30
Boko Haram,Accuse,Citizen (Nigeria),2014-05-07
Xi Jinping,Make an appeal or request,China,2014-08-18
Kofi Annan,Engage in negotiation,Iran,2014-01-31
Zalmai Rassoul,Make statement,Abdullah Abdullah,2014-05-11
Government (Nigeria),Provide aid,Citizen (Nigeria),2014-06-25
South Korea,Express intent to provide humanitarian aid,North Korea,2014-07-15
Vietnam,Deny responsibility,China,2014-12-12
Haider Al-Abadi,Praise or endorse,Barack Obama,2014-08-13
Citizen (Nigeria),Accuse,Government (Nigeria),2014-11-10
Amr Mohammed Moussa,Consult,Daniel Mitov,2014-10-12
John Kerry,Make statement,Nuri al-Maliki,2014-06-24
Philippines,Criticize or denounce,China,2014-10-22
Protester (Ukraine),Make pessimistic comment,Yulia Tymoshenko,2014-02-23
Guerrilla (Colombia),"Abduct, hijack, or take hostage",Ruben Dario Alzate,2014-11-17
Court Judge (India),Express accord,Citizen (India),2014-11-20
China,Criticize or denounce,Malaysia,2014-03-17
Behrouz Kamalvandi,Consult,Iran,2014-02-06
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-11-19
Barack Obama,Consult,Xi Jinping,2014-11-16
Military (South Sudan),Mobilize or increase armed forces,South Sudan,2014-01-10
Sheikh Hasina Wajed,Express intent to meet or negotiate,Citizen (India),2014-09-28
Benjamin Netanyahu,Make statement,"Government (Palestinian Territory, Occupied)",2014-06-02
China,Engage in diplomatic cooperation,Japan,2014-12-01
Barack Obama,Consult,Benjamin Netanyahu,2014-07-10
Protester (Thailand),Investigate,Citizen (Thailand),2014-01-20
Sergey Viktorovich Lavrov,Praise or endorse,Iran,2014-08-29
Iran,Consult,Catherine Ashton,2014-03-13
Citizen (Nigeria),Praise or endorse,Government (Nigeria),2014-09-22
South Korea,Express intent to cooperate,North Korea,2014-10-10
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-04-22
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-01-07
Iran,Provide military aid,Iraq,2014-06-16
South Africa,Demand,Foreign Affairs (Rwanda),2014-03-13
Militant (Yemen),Use unconventional violence,Citizen (Yemen),2014-05-09
Israeli Defense Forces,"Arrest, detain, or charge with legal action","Children (Palestinian Territory, Occupied)",2014-10-16
France,Consult,Barack Obama,2014-06-05
Angela Merkel,Discuss by telephone,Head of Government (Ukraine),2014-07-15
Protester (Egypt),Praise or endorse,Abdel Fattah Al-Sisi,2014-06-16
Citizen (Venezuela),Criticize or denounce,Government (Venezuela),2014-02-26
Court Judge (India),Express accord,Citizen (India),2014-02-27
China,Express intent to cooperate,North Korea,2014-02-19
North Korea,Make empathetic comment,South Korea,2014-04-25
Japan,Reduce relations,South Korea,2014-03-26
Iran,Praise or endorse,Hezbollah,2014-01-29
Foreign Affairs (United States),Make a visit,Labaran Maku,2014-02-05
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-01-15
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2014-12-24
John Kerry,Make an appeal or request,Heraldo Muñoz,2014-06-16
China,Make an appeal or request,Malaysia,2014-03-28
Wilson Uwujaren,Provide economic aid,Government (Nigeria),2014-03-28
Japan,Make a visit,North Korea,2014-10-22
Labor Union (India),"Threaten with political dissent, protest",Citizen (India),2014-01-06
Police (South Korea),Investigate,Citizen (South Korea),2014-06-26
Mexico,Host a visit,Barack Obama,2014-02-21
France,Engage in negotiation,Iran,2014-11-18
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-05-14
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-04-01
Sheikh Hasina Wajed,Make an appeal or request,Abdul Hamid,2014-01-09
South Korea,Make a visit,Angola,2014-07-17
Guy Scott,Make statement,Hakainde Hichilema,2014-12-06
Xi Jinping,Make optimistic comment,China,2014-11-11
Citizen (Nigeria),Demand,Government (Nigeria),2014-11-03
Barack Obama,Praise or endorse,Royal Administration (Saudi Arabia),2014-07-02
Xi Jinping,Express intent to meet or negotiate,Maldives,2014-09-09
Ryoo Kihl-jae,Make an appeal or request,North Korea,2014-09-25
Victor Ponta,Praise or endorse,Milos Zeman,2014-05-21
Foreign Affairs (United States),Make a visit,Massoud Barzani,2014-06-22
China,Praise or endorse,Kuwait,2014-06-04
Head of Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-09-23
John Kerry,Consult,Mohammad Javad Zarif,2014-02-04
Iraq,Make statement,Militant (Iraq),2014-06-18
Japan,Make an appeal or request,China,2014-06-11
Sergey Kuzhugetovich Shoygu,Make an appeal or request,Chuck Hagel,2014-04-29
Benjamin Netanyahu,Consult,Barack Obama,2014-03-06
Militant (Iraq),Use unconventional violence,Iraq,2014-07-14
Sergey Viktorovich Lavrov,Express intent to cooperate,Cabinet / Council of Ministers / Advisors (United States),2014-03-30
Vietnam,Sign formal agreement,Thailand,2014-11-28
John Kerry,Make an appeal or request,Nuri al-Maliki,2014-08-11
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-06-17
Zakir Hasanov,Make a visit,Iran,2014-04-14
Citizen (Nigeria),Accuse,Government (Nigeria),2014-10-30
North Korea,Engage in negotiation,China,2014-02-22
Court Judge (India),Ease administrative sanctions,Citizen (India),2014-02-27
Mohammad Javad Zarif,Make empathetic comment,Iran,2014-01-22
Election Commission (India),Make an appeal or request,Citizen (India),2014-04-18
Member of Parliament (India),Criticize or denounce,Citizen (India),2014-02-01
Philippines,Threaten,China,2014-08-18
Barack Obama,Make statement,François Hollande,2014-07-29
Citizen (Nigeria),Ease administrative sanctions,Government (Nigeria),2014-06-09
Philippines,Criticize or denounce,China,2014-05-14
South Korea,Host a visit,North Korea,2014-10-07
Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-08-26
Sheikh Hasina Wajed,Praise or endorse,North Korea,2014-01-21
Media (Africa),Make an appeal or request,Citizen (Sudan),2014-07-23
Iran,Express intent to provide military aid,Iraq,2014-10-23
Mohammad Javad Zarif,Engage in negotiation,John Kerry,2014-02-03
Japan,Make statement,South Korea,2014-04-05
Barnaba Marial Benjamin,Make statement,Government (Sudan),2014-09-11
Philippines,"Arrest, detain, or charge with legal action",Musa Cerantonio,2014-07-22
Bala Abdulkadir Mohammed,Make an appeal or request,Education (Nigeria),2014-01-12
Doctors Without Borders,Provide economic aid,Iraq,2014-06-18
Barack Obama,Make pessimistic comment,Iran,2014-11-10
Sex Trade (China),Make an appeal or request,Women (China),2014-12-11
Xi Jinping,Consult,Barack Obama,2014-11-13
Boko Haram,Threaten,Citizen (Nigeria),2014-05-19
Court Judge (India),Ease administrative sanctions,Citizen (India),2014-11-30
Police (Australia),"Return, release person(s)",Citizen (Australia),2014-06-20
Iraq,Consult,John Kerry,2014-06-24
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-04-09
South Korea,Make statement,North Korea,2014-08-14
South Korea,Make empathetic comment,North Korea,2014-05-22
North Korea,Halt negotiations,Envoy (United States),2014-02-10
John Kerry,Express intent to engage in diplomatic cooperation (such as policy support),Canada,2014-10-28
Iran,Make statement,Oman,2014-11-09
Joseph Robinette Biden,Consult,United Arab Emirates,2014-10-06
Citizen (Nigeria),Accuse,Government (Nigeria),2014-10-22
China,Host a visit,Afghanistan,2014-10-30
Bishop (Nigeria),Make an appeal or request,Government (Nigeria),2014-11-24
South Korea,Make statement,North Korea,2014-10-05
Court Judge (India),Ease administrative sanctions,Citizen (India),2014-04-22
Citizen (India),Accuse,Member of Parliament (India),2014-01-11
Abdel Fattah Al-Sisi,Consult,News Editor (Egypt),2014-05-08
Election Commission (Afghanistan),Make statement,Party Member (Afghanistan),2014-05-21
Oluṣẹgun Ọbasanjọ,Criticize or denounce,Citizen (Nigeria),2014-11-27
Benjamin Netanyahu,Accuse,Hamas,2014-07-15
Japan,Make a visit,China,2014-11-09
Boko Haram,Threaten,Citizen (Nigeria),2014-05-08
Boko Haram,Accuse,Citizen (Nigeria),2014-05-14
Amnesty International,Appeal for easing of administrative sanctions,National Council for Peace and Order of Thailand,2014-09-11
North Korea,Express intent to meet or negotiate,Japan,2014-06-30
China,Express intent to meet or negotiate,South Korea,2014-09-30
Tahirul Qadri,Make statement,Head of Government (Pakistan),2014-08-27
Barack Obama,Meet at a 'third' location,François Hollande,2014-08-09
Viktor Orban,Engage in symbolic act,György Matolcsy,2014-12-17
Iran,Consult,Oman,2014-04-22
Yulia Tymoshenko,Make an appeal or request,Protester (Ukraine),2014-02-22
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-07-19
John Kerry,Threaten,North Korea,2014-08-13
Police (Hong Kong),Use conventional military force,Protester (Hong Kong),2014-11-19
François Hollande,Consult,Ministry (France),2014-03-26
Xi Jinping,Threaten,China,2014-12-20
Mohammad Javad Zarif,Make statement,Iraq,2014-08-26
John Kerry,Make an appeal or request,Joseph Kabila,2014-05-04
Japan,Express intent to cooperate,South Korea,2014-09-19
Benjamin Netanyahu,Threaten,Hamas,2014-07-02
John Kerry,Consult,"Head of Government (Palestinian Territory, Occupied)",2014-01-04
France,Make statement,Iran,2014-01-20
Japan,Accuse,China,2014-06-15
Head of Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-06-27
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Pham Binh Minh,2014-04-16
François Hollande,Discuss by telephone,Massoud Barzani,2014-08-09
María Ángela Holguín,Consult,John Kerry,2014-02-28
Attacker (Afghanistan),fight with small arms and light weapons,Military Personnel - Special (Afghanistan),2014-03-28
Barack Obama,Host a visit,UN Security Council,2014-09-24
François Hollande,Engage in negotiation,Abdullah Gül,2014-01-27
Benjamin Netanyahu,Make an appeal or request,Cabinet / Council of Ministers / Advisors (United States),2014-07-23
China,Provide humanitarian aid,Vietnam,2014-05-22
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-03-07
South Korea,Express intent to cooperate,China,2014-10-31
South Korea,Reject,North Korea,2014-01-04
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-07-18
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Armenia,2014-10-21
Xi Jinping,Praise or endorse,Ashraf Ghani Ahmadzai,2014-10-28
Simon Gass,Make a visit,Iran,2014-05-01
Armed Gang (Afghanistan),Use unconventional violence,Abdullah Abdullah,2014-06-07
Cabinet / Council of Ministers / Advisors (United States),Discuss by telephone,Fumio Kishida,2014-07-29
Party Member (Afghanistan),Make optimistic comment,John Kerry,2014-07-11
Sergey Viktorovich Lavrov,Host a visit,Raúl Castro,2014-04-30
Barack Obama,Make statement,UN Security Council,2014-09-24
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-11-07
Police (South Africa),Make an appeal or request,Men (South Africa),2014-09-25
Armed Gang (Russia),Make statement,Media Personnel (United States),2014-04-24
Boko Haram,Make pessimistic comment,Citizen (Nigeria),2014-12-03
Boko Haram,"Abduct, hijack, or take hostage",Education (Nigeria),2014-05-12
Police (Hong Kong),Make statement,Protester (Hong Kong),2014-10-18
John Kerry,Express intent to meet or negotiate,Nuri al-Maliki,2014-06-25
Emmanuel Eweta Uduaghan,Demand,Nigerian Bar Association,2014-09-12
Iraq,Make an appeal or request,Legislature (Iraq),2014-03-03
China,Express intent to cooperate,North Korea,2014-02-22
Hamas,Make statement,Qatar,2014-05-06
Salvador Sánchez Cerén,Consult,Barack Obama,2014-07-25
John Kerry,Engage in negotiation,Benjamin Netanyahu,2014-07-23
Tehrik-i-Taliban Pakistan,Acknowledge or claim responsibility,Political Parties (Pakistan),2014-11-22
Election Commission (India),Make statement,Pranjal Yadav,2014-05-10
Barack Obama,Express intent to de-escalate military engagement,Iraq,2014-09-12
Energy Department/Ministry (Iran),Make statement,Iraq,2014-11-12
Sudan,Express intent to cooperate,South Sudan,2014-11-14
Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Philippines,2014-04-30
Japan,Express intent to cooperate,South Korea,2014-12-26
South Korea,Reject,Japan,2014-07-03
Kofi Annan,Make a visit,Iran,2014-01-28
Amit Shah,Make statement,Employee (India),2014-08-10
Mulatu Teshome,Engage in negotiation,Japan,2014-08-27
Police (Australia),"Return, release person(s)",Citizen (Australia),2014-04-19
Police (Canada),Use conventional military force,Canada,2014-10-22
People Associated with the Opposition (Argentina),Use unconventional violence,Government (Argentina),2014-08-06
Head of Government (Egypt),Make statement,Umar al Bashir,2014-10-19
Abdel Fattah Al-Sisi,Praise or endorse,United Arab Emirates,2014-03-12
Abdullah Gül,Express intent to meet or negotiate,China,2014-05-12
Xi Jinping,Make statement,China,2014-03-28
Iran,Criticize or denounce,European Parliament,2014-04-08
Barack Obama,Meet at a 'third' location,Benjamin Netanyahu,2014-07-18
Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-11-18
China,Consult,Ashraf Ghani Ahmadzai,2014-11-05
John Kerry,Make a visit,France,2014-07-25
Mob (Pakistan),Kill by physical assault,Christian (Pakistan),2014-11-06
Barack Obama,Make a visit,Xi Jinping,2014-11-10
John Kerry,Make statement,Iran,2014-01-25
Sergey Viktorovich Lavrov,Praise or endorse,Ethiopia,2014-09-18
Abu Bakr Abdullah al-Qirbi,Accuse,Iran,2014-05-05
Umar al Bashir,Express intent to cooperate,Abdel Fattah Al-Sisi,2014-10-20
Afghanistan,Consult,Iran,2014-12-17
Business (Austria),Engage in diplomatic cooperation,Iran,2014-03-04
François Hollande,Engage in negotiation,Haider Al-Abadi,2014-09-12
Barack Obama,Make an appeal or request,Mexico,2014-06-20
Boko Haram,Threaten with military force,Citizen (Germany),2014-11-01
Nigerian Governors Forum,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-05-20
China,Engage in negotiation,Japan,2014-09-26
Police (Ukraine),Give ultimatum,Protester (Ukraine),2014-02-20
Arnaud Montebourg,Consult,François Hollande,2014-04-27
Ministry (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-11
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-05-14
Police (Australia),Make an appeal or request,Citizen (Australia),2014-05-02
Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2014-02-17
Yair Lapid,Sign formal agreement,Benjamin Netanyahu,2014-09-22
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-03-31
Iran,Praise or endorse,Iraq,2014-07-09
Barack Obama,Express intent to meet or negotiate,Toomas Hendrik Ilves,2014-09-03
France,Host a visit,Serge Lazarevic,2014-12-10
Barack Obama,Express intent to meet or negotiate,South Korea,2014-04-21
Joao Lourenco,Express intent to meet or negotiate,Angola,2014-11-04
UN Security Council,Criticize or denounce,Sudan,2014-04-03
Mexico,Host a visit,City Mayor (United States),2014-02-08
Boko Haram,Use conventional military force,Education (Nigeria),2014-11-12
Citizen (Kenya),Express intent to engage in diplomatic cooperation (such as policy support),Government (Kenya),2014-09-15
Caroline Kennedy,Express intent to meet or negotiate,Japan,2014-05-12
Iran,Consult,Staffan de Mistura,2014-10-19
Protester (Thailand),Make statement,Thailand,2014-01-15
Protester (Hong Kong),"Protest violently, riot",Police (Hong Kong),2014-09-30
Head of Government (Ukraine),Yield,Protester (Ukraine),2014-02-21
Barack Obama,Consult,François Hollande,2014-04-25
Angela Merkel,Consult,Barack Obama,2014-04-25
Sabah Khaled Al-Hamad Al-Sabah,Make a visit,Iraq,2014-12-28
Imran Khan,Demand,Government (Pakistan),2014-12-01
Police (South Africa),Impose administrative sanctions,South Africa,2014-02-05
Julie Bishop,Praise or endorse,Malaysia,2014-02-18
Raheel Sharif,Host a visit,Head of Government (Afghanistan),2014-11-14
Barack Obama,Discuss by telephone,Raúl Castro,2014-12-17
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-05-30
Japan,Appeal for judicial cooperation,North Korea,2014-05-30
John Kerry,Engage in negotiation,Benjamin Netanyahu,2014-01-06
Armed Rebel (Syria),Occupy territory,Combatant (Al Qaeda),2014-01-05
Police (Australia),Physically assault,Citizen (Australia),2014-11-13
Thailand,Appeal for diplomatic cooperation (such as policy support),Citizen (Thailand),2014-01-07
Citizen (Nigeria),Use unconventional violence,Boko Haram,2014-05-14
Japan,Express intent to cooperate,China,2014-11-07
François Hollande,Praise or endorse,Iraq,2014-09-12
Iran,Rally support on behalf of,Iraq,2014-02-19
Head of Government (Ukraine),Consult,Barack Obama,2014-03-12
Joseph Ole Lenku,Demand diplomatic cooperation (such as policy support),Police (Kenya),2014-04-23
Tahirul Qadri,Threaten,Government (Pakistan),2014-08-20
Japan,Host a visit,Caroline Kennedy,2014-02-13
Xi Jinping,Threaten,China,2014-12-21
Mohammad Mohaqiq,Praise or endorse,Iran,2014-12-15
Protester (Thailand),"Obstruct passage, block",Thailand,2014-01-14
Chuck Hagel,Make a visit,China,2014-04-09
Foreign Affairs (Norway),Make a visit,Abdel Fattah Al-Sisi,2014-09-09
South Korea,Engage in negotiation,North Korea,2014-10-19
South Korea,Host a visit,North Korea,2014-10-06
Ethiopia,Engage in diplomatic cooperation,Sudan,2014-09-22
Joseph Robinette Biden,Threaten,Romania,2014-05-21
Nuri al-Maliki,Make statement,Iraq,2014-01-14
Food and Agriculture Organization,Engage in diplomatic cooperation,Romania,2014-04-03
Joseph Robinette Biden,Consult,Nuri al-Maliki,2014-05-17
Mohammad Javad Zarif,Engage in negotiation,Sergey Viktorovich Lavrov,2014-01-16
China,Provide military protection or peacekeeping,South Sudan,2014-09-11
France,Engage in diplomatic cooperation,Iraq,2014-09-21
Abu Sayyaf,Use unconventional violence,Military (Philippines),2014-11-02
Thief (India),Use unconventional violence,Citizen (India),2014-12-06
Thailand,"Arrest, detain, or charge with legal action",Hezbollah,2014-06-03
Israeli Defense Forces,"Arrest, detain, or charge with legal action","Member of Legislative (Govt) (Palestinian Territory, Occupied)",2014-06-16
People Associated with the Opposition (Argentina),Criticize or denounce,Government (Argentina),2014-08-06
Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-12-15
Mohammad Javad Zarif,Make a visit,Iraq,2014-09-21
Kofi Annan,Praise or endorse,Iran,2014-01-30
Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),Macky Sall,2014-02-20
Vietnam,Express intent to cooperate,China,2014-06-18
Lawmaker (Iraq),Make optimistic comment,Iran,2014-06-02
Military (Thailand),Impose administrative sanctions,Thailand,2014-05-28
China,Make a visit,North Korea,2014-08-10
Foreign Affairs (Russia),Consult,Government (Syria),2014-01-14
Barack Obama,Make statement,Arseniy Yatsenyuk,2014-03-13
Hun Sen,Make statement,Veera Somkwamkid,2014-07-03
Foreign Affairs (Ukraine),Consult,Sergey Viktorovich Lavrov,2014-03-26
John Kerry,Consult,Benjamin Netanyahu,2014-04-01
Trade Union Congress,Make an appeal or request,Government (Nigeria),2014-05-05
Willem-Alexander,Praise or endorse,Xi Jinping,2014-03-22
Mohammad Javad Zarif,Criticize or denounce,Iran,2014-02-20
Citizen (Kenya),Make pessimistic comment,Government (Kenya),2014-07-21
Benjamin Netanyahu,Praise or endorse,Reuven Rivlin,2014-06-13
Protester (Hong Kong),Reject,China,2014-09-28
Court Judge (India),Demand,Citizen (India),2014-01-30
Hamas,Consult,Iran,2014-12-17
Angela Merkel,Consult,Head of Government (Germany),2014-09-20
Tunde Bakare,Accuse,Oluṣẹgun Ọbasanjọ,2014-11-18
Police (Australia),Make an appeal or request,Citizen (Australia),2014-01-13
William Ruto,Demand diplomatic cooperation (such as policy support),Citizen (Kenya),2014-03-18
Protester (Ukraine),Make statement,Yulia Tymoshenko,2014-02-23
China,Express intent to cooperate,Malaysia,2014-05-20
Japan,Engage in diplomatic cooperation,South Korea,2014-06-30
North Korea,Use conventional military force,South Korea,2014-12-03
Angela Merkel,Make an appeal or request,Abdel Fattah Al-Sisi,2014-09-09
Ali Al-Za'tari,Engage in diplomatic cooperation,Umar al Bashir,2014-12-26
Barack Obama,Consult,China,2014-09-17
Court Judge (India),Coerce,Citizen (India),2014-11-19
Pope Francis,Make an appeal or request,Shimon Peres,2014-05-26
France,Host a visit,Barack Obama,2014-06-05
Xi Jinping,Consult,Royal Administration (Saudi Arabia),2014-03-15
Sergey Viktorovich Lavrov,Engage in negotiation,Iraq,2014-02-20
Akhilesh Yadav,Criticize or denounce,Media (India),2014-01-12
Barack Obama,Express intent to meet or negotiate,China,2014-11-07
Mohammad Javad Zarif,Make a visit,Iraq,2014-01-13
Japan,Make pessimistic comment,China,2014-08-30
Abdullah Gül,Consult,François Hollande,2014-01-27
Prayuth Chan-ocha,Appeal to engage in or accept mediation,Military (Thailand),2014-05-26
Sergey Viktorovich Lavrov,Express intent to settle dispute,China,2014-04-15
North Korea,Reject,South Korea,2014-10-27
UN Security Council,Praise or endorse,Morocco,2014-08-28
Court Judge (India),Reject,Citizen (India),2014-08-26
Media Personnel (Pakistan),Make an appeal or request,Government (Pakistan),2014-06-09
China,Sign formal agreement,Ashraf Ghani Ahmadzai,2014-11-13
Protester (Thailand),Demonstrate or rally,Thailand,2014-01-27
Mexico,Discuss by telephone,Barack Obama,2014-06-20
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-05-22
North Korea,Sign formal agreement,South Korea,2014-10-05
Police (Philippines),"Arrest, detain, or charge with legal action",Children (Philippines),2014-06-28
Yair Lapid,Give ultimatum,Benjamin Netanyahu,2014-11-17
Court Judge (India),"Return, release person(s)",Citizen (India),2014-09-08
Japan,Consult,China,2014-12-28
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Børge Brende,2014-10-25
Mohammad Javad Zarif,Make a visit,Iran,2014-03-15
Hamas,fight with small arms and light weapons,Israeli Defense Forces,2014-07-23
Afghanistan,Praise or endorse,Abdullah Abdullah,2014-02-20
Court Judge (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014-09-16
Pope Francis,Make a visit,South Korea,2014-08-17
Japan,Engage in negotiation,South Korea,2014-07-22
John Kerry,Express intent to meet or negotiate,Iraq,2014-06-22
Barack Obama,Make statement,Benjamin Netanyahu,2014-10-01
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-11-20
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-10-16
Pope Francis,Express intent to settle dispute,Iraq,2014-08-12
Association of Southeast Asian Nations,Express intent to cooperate,Japan,2014-09-04
Citizen (Kenya),Make an appeal or request,William Ruto,2014-11-25
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-02-28
Protester (Thailand),Threaten with military force,Thailand,2014-01-15
François Hollande,Consult,France,2014-09-04
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-18
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-05
Xi Jinping,Make optimistic comment,Maldives,2014-09-15
Willem-Alexander,Consult,Xi Jinping,2014-03-22
Børge Brende,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-01-20
Police (Philippines),Make statement,Criminal (Philippines),2014-10-22
Indigenous People (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2014-11-03
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-02-22
Boko Haram,Express intent to release persons or property,Citizen (Nigeria),2014-11-10
Police (South Korea),Investigate,Citizen (South Korea),2014-06-21
John Kerry,Make a visit,South Korea,2014-02-18
Citizen (India),Complain officially,Member of Parliament (India),2014-01-11
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-01-22
Iraq,Demand,Barack Obama,2014-11-09
Philippines,Accuse,China,2014-05-23
Police (Greece),Make an appeal or request,Citizen (Greece),2014-01-22
Joe Natuman,Make a visit,Vietnam,2014-10-06
Iran,Make pessimistic comment,Reserve Personnel (Iran),2014-03-04
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-19
South Korea,"Reject plan, agreement to settle dispute",North Korea,2014-05-21
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-12-16
Ministry (Nigeria),Threaten,Citizen (Nigeria),2014-08-07
Protester (Ukraine),"Obstruct passage, block",Police (Ukraine),2014-02-18
Court Judge (India),Ease administrative sanctions,Citizen (India),2014-07-17
Barack Obama,Make statement,North Korea,2014-11-12
Head of Government (Pakistan),Engage in negotiation,John Kerry,2014-03-30
Opposition Supporter (Pakistan),Engage in negotiation,Government (Pakistan),2014-08-21
John Kerry,Engage in negotiation,Abdullah Abdullah,2014-07-11
François Hollande,Consult,Arnaud Montebourg,2014-04-27
Yasuo Fukuda,Consult,Xi Jinping,2014-10-29
Xi Jinping,Express intent to meet or negotiate,China,2014-09-23
Federica Mogherini,Consult,Shimon Peres,2014-07-16
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-01-14
South Korea,Express intent to meet or negotiate,Japan,2014-10-16
Barack Obama,Praise or endorse,Ashraf Ghani Ahmadzai,2014-10-23
