head,relation,tail,time
Defense / Security Ministry (Malaysia),Make statement,Ministry (Malaysia),2014-03-03
Citizen (India),Accuse,Thief (India),2014-03-03
Japan,Criticize or denounce,North Korea,2014-03-03
China,Host a visit,Japan,2014-03-03
Barack Obama,Demand,Benjamin Netanyahu,2014-03-03
China,Make pessimistic comment,Japan,2014-03-03
Barack Obama,Consult,Benjamin Netanyahu,2014-03-03
Thief (India),Use unconventional violence,Citizen (India),2014-03-03
Citizen (Nigeria),Demand,Government (Nigeria),2014-03-03
Barack Obama,Consult,Angela Merkel,2014-03-03
City Mayor (United States),Make a visit,Mexico,2014-03-03
Benjamin Netanyahu,Consult,Barack Obama,2014-03-03
Ministry (Malaysia),Consult,Defense / Security Ministry (Malaysia),2014-03-03
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-03-03
Police (Egypt),fight with small arms and light weapons,Protester (Egypt),2014-03-03
Angela Merkel,Consult,Barack Obama,2014-03-03
Japan,Engage in negotiation,North Korea,2014-03-03
Iran,Host a visit,Catherine Ashton,2014-03-03
North Korea,Express intent to cooperate,Japan,2014-03-03
Citizen (Thailand),fight with small arms and light weapons,Thailand,2014-03-03
France,Make a visit,Thailand,2014-03-03
Citizen (Nigeria),Appeal for material cooperation,Government (Nigeria),2014-03-03
Representatives (Romania),Consult,Victor Ponta,2014-03-03
Angela Merkel,Discuss by telephone,Barack Obama,2014-03-03
Victor Ponta,Praise or endorse,Representatives (Romania),2014-03-03
Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-03-03
Thailand,Host a visit,France,2014-03-03
Japan,Consult,North Korea,2014-03-03
Japan,Express intent to cooperate economically,China,2014-03-03
Catherine Ashton,Make a visit,Iran,2014-03-03
Benjamin Netanyahu,Express intent to meet or negotiate,Barack Obama,2014-03-03
Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014-03-03
North Korea,Consult,Japan,2014-03-03
North Korea,Engage in negotiation,Japan,2014-03-03
Japan,Make a visit,China,2014-03-03
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-03-03
Myanmar,Host a visit,Mahinda Rajapaksa,2014-03-03
Japan,Express intent to cooperate,North Korea,2014-03-03
Mexico,Host a visit,City Mayor (United States),2014-03-03
China,Host a visit,France,2014-03-03
Barack Obama,Discuss by telephone,Angela Merkel,2014-03-03
France,Make a visit,China,2014-03-03
Iran,Criticize or denounce,Barack Obama,2014-03-03
Benjamin Netanyahu,Make a visit,Barack Obama,2014-03-03
Barack Obama,Express intent to meet or negotiate,Benjamin Netanyahu,2014-03-03
Barack Obama,Make an appeal or request,Benjamin Netanyahu,2014-03-03
Barack Obama,Express intent to cooperate,Benjamin Netanyahu,2014-03-03
Mahinda Rajapaksa,Make a visit,Myanmar,2014-03-03
Benjamin Netanyahu,Engage in negotiation,Barack Obama,2014-03-03
Barack Obama,Consult,Benjamin Netanyahu,2014-03-04
Toomas Hendrik Ilves,Make a visit,Japan,2014-03-04
Employee (Myanmar),Make a visit,Doctors Without Borders,2014-03-04
Police (Mauritania),Use conventional military force,Citizen (Mauritania),2014-03-04
China,Host a visit,Head of Government (Belarus),2014-03-04
Doctors Without Borders,Host a visit,Employee (Myanmar),2014-03-04
Barack Obama,Praise or endorse,Benjamin Netanyahu,2014-03-04
Japan,Host a visit,Toomas Hendrik Ilves,2014-03-04
Barack Obama,Host a visit,Benjamin Netanyahu,2014-03-04
South Africa,Expel or deport individuals,Shrien Dewani,2014-03-04
Ministry (Poland),Make a visit,Iran,2014-03-04
Barack Obama,Express intent to cooperate,Benjamin Netanyahu,2014-03-04
Head of Government (Belarus),Make a visit,China,2014-03-04
Arseniy Yatsenyuk,Engage in negotiation,John Kerry,2014-03-04
Benjamin Netanyahu,Make statement,Barack Obama,2014-03-04
Sergey Viktorovich Lavrov,Engage in negotiation,Catherine Ashton,2014-03-04
Mohammad Javad Zarif,Make a visit,Japan,2014-03-04
Japan,Engage in negotiation,Mohammad Javad Zarif,2014-03-04
Tony Sithembiso Yengeni,Make a visit,South Africa,2014-03-04
Iran,Host a visit,Ministry (Poland),2014-03-04
John Kerry,Express intent to meet or negotiate,Arseniy Yatsenyuk,2014-03-04
Iraq,Sign formal agreement,Iran,2014-03-04
Benjamin Netanyahu,Consult,Barack Obama,2014-03-04
Benjamin Netanyahu,Engage in negotiation,Barack Obama,2014-03-04
Citizen (Bangladesh),Demand,Bangladesh Nationalist Party,2014-03-04
Iran,Engage in diplomatic cooperation,South Korea,2014-03-04
Japan,Consult,Mohammad Javad Zarif,2014-03-04
Barack Obama,Engage in negotiation,Benjamin Netanyahu,2014-03-04
Catherine Ashton,Engage in negotiation,Sergey Viktorovich Lavrov,2014-03-04
Iran,Express intent to cooperate economically,Iraq,2014-03-04
South Africa,Host a visit,Tony Sithembiso Yengeni,2014-03-04
Jerry Brown,Make a visit,China,2014-03-04
Mohammad Javad Zarif,Engage in negotiation,Japan,2014-03-04
Shrien Dewani,Engage in judicial cooperation,South Africa,2014-03-04
Catherine Ashton,Consult,Sergey Viktorovich Lavrov,2014-03-04
Japan,Engage in negotiation,North Korea,2014-03-04
Sergey Viktorovich Lavrov,Meet at a 'third' location,Catherine Ashton,2014-03-04
Juan Carlos I,Host a visit,Sergey Viktorovich Lavrov,2014-03-04
China,Host a visit,Jerry Brown,2014-03-04
North Korea,Consult,Japan,2014-03-04
Iran,Make statement,South Korea,2014-03-04
Japan,Host a visit,Mohammad Javad Zarif,2014-03-04
Barack Obama,Make a visit,China,2014-03-04
Bangladesh Nationalist Party,Assassinate,Citizen (Bangladesh),2014-03-04
Barack Obama,Make an appeal or request,Benjamin Netanyahu,2014-03-04
Sergey Viktorovich Lavrov,Consult,Catherine Ashton,2014-03-04
South Korea,Engage in diplomatic cooperation,Iran,2014-03-04
Citizen (Mauritania),"Protest violently, riot",Police (Mauritania),2014-03-04
UN Security Council,Make a visit,France,2014-03-04
Catherine Ashton,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-04
South Korea,Express intent to meet or negotiate,Iran,2014-03-04
Sergey Viktorovich Lavrov,Make a visit,Juan Carlos I,2014-03-04
China,Host a visit,Barack Obama,2014-03-04
France,Host a visit,UN Security Council,2014-03-04
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,France,2014-03-05
Iran,Host a visit,Mohammad Javad Zarif,2014-03-05
Raúl Castro,Make a visit,Government (Venezuela),2014-03-05
Barack Obama,Host a visit,Benjamin Netanyahu,2014-03-05
Sergey Viktorovich Lavrov,Express intent to cooperate,Cabinet / Council of Ministers / Advisors (United States),2014-03-05
Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Sergey Viktorovich Lavrov,2014-03-05
Morocco,Sign formal agreement,Guinea,2014-03-05
Irakli Alasania,Make a visit,Japan,2014-03-05
Vietnam,Make a visit,South Africa,2014-03-05
South Africa,Host a visit,Vietnam,2014-03-05
Sergey Viktorovich Lavrov,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014-03-05
China,Make pessimistic comment,Japan,2014-03-05
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-05
France,Host a visit,Foreign Affairs (Russia),2014-03-05
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (United States),2014-03-05
National Resistance Movement,Make statement,Police (Uganda),2014-03-05
Iran,Host a visit,South Korea,2014-03-05
Guinea,Engage in diplomatic cooperation,Morocco,2014-03-05
France,Host a visit,Sergey Viktorovich Lavrov,2014-03-05
South Korea,Make a visit,Iran,2014-03-05
Sergey Viktorovich Lavrov,Make a visit,France,2014-03-05
Mohammad Javad Zarif,Make statement,Iran,2014-03-05
Japan,Make a visit,China,2014-03-05
Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-05
Benjamin Netanyahu,Make a visit,Barack Obama,2014-03-05
Guinea,Sign formal agreement,Morocco,2014-03-05
Sergey Viktorovich Lavrov,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-03-05
Benjamin Netanyahu,Consult,Barack Obama,2014-03-05
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-05
Iran,Consult,Japan,2014-03-05
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-03-05
Mulatu Teshome,Make a visit,Angola,2014-03-05
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-03-05
Government (Venezuela),Host a visit,Raúl Castro,2014-03-05
China,Criticize or denounce,Japan,2014-03-05
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-03-05
Japan,Praise or endorse,Iran,2014-03-05
Police (Uganda),Consult,National Resistance Movement,2014-03-05
Mohammad Javad Zarif,Make optimistic comment,Iran,2014-03-05
France,Demand,Sergey Viktorovich Lavrov,2014-03-05
Foreign Affairs (Russia),Make a visit,France,2014-03-05
John Kerry,Engage in negotiation,Sergey Viktorovich Lavrov,2014-03-05
France,Make an appeal or request,Sergey Viktorovich Lavrov,2014-03-05
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-03-05
Angola,Host a visit,Mulatu Teshome,2014-03-05
Japan,Host a visit,Irakli Alasania,2014-03-05
China,Host a visit,Japan,2014-03-05
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-03-05
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-03-05
Sergey Viktorovich Lavrov,Meet at a 'third' location,John Kerry,2014-03-05
China,Threaten,Japan,2014-03-05
John Kerry,Make an appeal or request,Sergey Viktorovich Lavrov,2014-03-05
Cabinet / Council of Ministers / Advisors (United States),Express intent to cooperate,Sergey Viktorovich Lavrov,2014-03-05
Morocco,Engage in diplomatic cooperation,Guinea,2014-03-05
Sergey Viktorovich Lavrov,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States),2014-03-05
Mohammad Javad Zarif,Make a visit,Iran,2014-03-05
John Kerry,Engage in diplomatic cooperation,Sergey Viktorovich Lavrov,2014-03-05
Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-06
Toomas Hendrik Ilves,Make a visit,Japan,2014-03-06
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-03-06
Arseniy Yatsenyuk,Express intent to meet or negotiate,North Atlantic Treaty Organization,2014-03-06
Barack Obama,Consult,Benjamin Netanyahu,2014-03-06
Mulatu Teshome,Make a visit,Angola,2014-03-06
Army National Guard (Venezuela),fight with small arms and light weapons,Citizen (Venezuela),2014-03-06
Citizen (India),Use unconventional violence,Military Personnel (India),2014-03-06
Barack Obama,Praise or endorse,Benjamin Netanyahu,2014-03-06
Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-03-06
France,Host a visit,Ibrahim Boubacar Keïta,2014-03-06
Benjamin Netanyahu,Make a visit,Militant (Syria),2014-03-06
Sergey Viktorovich Lavrov,Meet at a 'third' location,John Kerry,2014-03-06
Sergey Viktorovich Lavrov,Make statement,John Kerry,2014-03-06
Angola,Host a visit,Mulatu Teshome,2014-03-06
Citizen (Thailand),Make an appeal or request,Thailand,2014-03-06
Benjamin Netanyahu,Consult,Barack Obama,2014-03-06
North Atlantic Treaty Organization,Consult,Arseniy Yatsenyuk,2014-03-06
Sergey Viktorovich Lavrov,Engage in negotiation,John Kerry,2014-03-06
Mohammad Javad Zarif,Make an appeal or request,Japan,2014-03-06
Comoros,Host a visit,François Hollande,2014-03-06
South Korea,Criticize or denounce,Japan,2014-03-06
South Korea,Engage in negotiation,Japan,2014-03-06
North Korea,Reject,South Korea,2014-03-06
Military Personnel (India),Use conventional military force,Citizen (India),2014-03-06
Citizen (Venezuela),Use unconventional violence,Army National Guard (Venezuela),2014-03-06
South Korea,Engage in diplomatic cooperation,North Korea,2014-03-06
François Hollande,Make a visit,Comoros,2014-03-06
North Korea,"Reject plan, agreement to settle dispute",South Korea,2014-03-06
Japan,Praise or endorse,South Korea,2014-03-06
Thailand,Criticize or denounce,Citizen (Thailand),2014-03-06
South Korea,Demand,Japan,2014-03-06
Barack Obama,Demand,Benjamin Netanyahu,2014-03-06
Benjamin Netanyahu,Engage in negotiation,Barack Obama,2014-03-06
Government (Nigeria),Provide aid,Citizen (Nigeria),2014-03-06
Japan,Engage in negotiation,South Korea,2014-03-06
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-03-06
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-06
Militant (Syria),Host a visit,Benjamin Netanyahu,2014-03-06
Japan,Praise or endorse,Mohammad Javad Zarif,2014-03-06
Barack Obama,Make an appeal or request,Benjamin Netanyahu,2014-03-06
Barack Obama,Engage in negotiation,Benjamin Netanyahu,2014-03-06
North Korea,Criticize or denounce,South Korea,2014-03-06
Japan,Host a visit,Toomas Hendrik Ilves,2014-03-06
Japan,Host a visit,Mohammad Javad Zarif,2014-03-06
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-03-06
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-06
Ibrahim Boubacar Keïta,Make a visit,France,2014-03-06
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-03-06
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-03-06
Arseniy Yatsenyuk,Make an appeal or request,North Atlantic Treaty Organization,2014-03-06
Sergey Viktorovich Lavrov,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-03-06
John Kerry,Engage in negotiation,Sergey Viktorovich Lavrov,2014-03-06
Mohammad Javad Zarif,Make a visit,Japan,2014-03-06
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-07
Japan,Host a visit,Toomas Hendrik Ilves,2014-03-07
Willem-Alexander,Consult,Teshome Togo,2014-03-07
Iran,Host a visit,Mohammad Javad Zarif,2014-03-07
Toomas Hendrik Ilves,Make a visit,Japan,2014-03-07
South Korea,Express intent to meet or negotiate,North Korea,2014-03-07
Chuck Hagel,Consult,Defense / Security Ministry (Ukraine),2014-03-07
Mohammad Javad Zarif,Make statement,Iran,2014-03-07
Sergey Viktorovich Lavrov,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014-03-07
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-03-07
Defense / Security Ministry (Ukraine),Make an appeal or request,Chuck Hagel,2014-03-07
South Korea,Make an appeal or request,North Korea,2014-03-07
Mohammad Javad Zarif,Make a visit,Japan,2014-03-07
Sergey Viktorovich Lavrov,Make statement,John Kerry,2014-03-07
Citizen (India),Accuse,Medical Personnel (India),2014-03-07
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-03-07
Michael Sata,Consult,Sylvia Masebo,2014-03-07
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-03-07
Sylvia Masebo,Make statement,Michael Sata,2014-03-07
Ibrahim Boubacar Keïta,Make a visit,France,2014-03-07
Mohammad Javad Zarif,Make optimistic comment,Iran,2014-03-07
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-03-07
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-03-07
North Korea,"Reject plan, agreement to settle dispute",South Korea,2014-03-07
Lawyer/Attorney (United States),Make a visit,Mauritania,2014-03-07
North Korea,Reject,South Korea,2014-03-07
Teshome Togo,Make statement,Willem-Alexander,2014-03-07
Mohammad Javad Zarif,Make a visit,Iran,2014-03-07
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-03-07
France,Host a visit,Ibrahim Boubacar Keïta,2014-03-07
North Korea,"Reject proposal to meet, discuss, or negotiate",South Korea,2014-03-07
Catherine Ashton,Express intent to meet or negotiate,Mohammad Javad Zarif,2014-03-07
Sergey Viktorovich Lavrov,Engage in negotiation,John Kerry,2014-03-07
Sergey Viktorovich Lavrov,Threaten,John Kerry,2014-03-07
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-03-07
Mauritania,Host a visit,Lawyer/Attorney (United States),2014-03-07
Toomas Hendrik Ilves,Make optimistic comment,Japan,2014-03-07
Medical Personnel (India),Make an appeal or request,Citizen (India),2014-03-07
Japan,Host a visit,Mohammad Javad Zarif,2014-03-07
Barack Obama,Express intent to cooperate,Angela Merkel,2014-03-08
Military Personnel - Special (Afghanistan),Use conventional military force,Armed Rebel (Afghanistan),2014-03-08
Sergey Viktorovich Lavrov,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States),2014-03-08
Catherine Ashton,Make a visit,Iran,2014-03-08
Catherine Ashton,Express intent to meet or negotiate,Iran,2014-03-08
Angela Merkel,Express intent to cooperate,Barack Obama,2014-03-08
Head of Government (Chad),Make a visit,Sudan,2014-03-08
Barack Obama,Discuss by telephone,François Hollande,2014-03-08
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-03-08
Barack Obama,Discuss by telephone,Angela Merkel,2014-03-08
Armed Rebel (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2014-03-08
François Hollande,Consult,Barack Obama,2014-03-08
John Kerry,Make statement,Sergey Viktorovich Lavrov,2014-03-08
Angela Merkel,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2014-03-08
South Korea,Host a visit,Barack Obama,2014-03-08
Military Personnel (Afghanistan),Praise or endorse,Ashraf Ghani Ahmadzai,2014-03-08
Iran,Engage in negotiation,Catherine Ashton,2014-03-08
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-03-08
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-03-08
Catherine Ashton,Engage in negotiation,Iran,2014-03-08
Sergey Viktorovich Lavrov,Threaten,John Kerry,2014-03-08
Iran,Consult,Catherine Ashton,2014-03-08
Angela Merkel,Discuss by telephone,Barack Obama,2014-03-08
Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Angela Merkel,2014-03-08
Japan,Host a visit,Toomas Hendrik Ilves,2014-03-08
Japan,Host a visit,Barack Obama,2014-03-08
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-03-08
Catherine Ashton,Consult,Iran,2014-03-08
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-03-08
Cabinet / Council of Ministers / Advisors (United States),Discuss by telephone,Sergey Viktorovich Lavrov,2014-03-08
Catherine Ashton,Express intent to meet or negotiate,Mohammad Javad Zarif,2014-03-08
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-03-08
Ashraf Ghani Ahmadzai,Consult,Military Personnel (Afghanistan),2014-03-08
Barack Obama,Make a visit,Japan,2014-03-08
Iran,Host a visit,Catherine Ashton,2014-03-08
Sudan,Host a visit,Head of Government (Chad),2014-03-08
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-03-08
Barack Obama,Make a visit,South Korea,2014-03-08
Sergey Viktorovich Lavrov,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-03-08
Toomas Hendrik Ilves,Make a visit,Japan,2014-03-08
Iran,Host a visit,Javier Solana,2014-03-09
Catherine Ashton,Make a visit,Iran,2014-03-09
Morocco,Host a visit,Head of Government (Qatar),2014-03-09
Ministry (Ministry of Administrative Development),Make a visit,Qatar,2014-03-09
Iran,Host a visit,Catherine Ashton,2014-03-09
Angela Merkel,Engage in negotiation,Xi Jinping,2014-03-09
Barack Obama,Make an appeal or request,Arseniy Yatsenyuk,2014-03-09
Catherine Ashton,Engage in negotiation,Mohammad Javad Zarif,2014-03-09
Catherine Ashton,Engage in negotiation,Iran,2014-03-09
Head of Government (Qatar),Make a visit,Morocco,2014-03-09
Uhuru Muigai Kenyatta,Make a visit,Ethiopia,2014-03-09
Civil Guard,Make a visit,Bolivia,2014-03-09
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-03-09
Bolivia,Host a visit,Civil Guard,2014-03-09
Ethiopia,Host a visit,Uhuru Muigai Kenyatta,2014-03-09
Angela Merkel,Make a visit,China,2014-03-09
Xi Jinping,Engage in negotiation,Angela Merkel,2014-03-09
Angela Merkel,Consult,Xi Jinping,2014-03-09
China,Host a visit,Angela Merkel,2014-03-09
Arseniy Yatsenyuk,Express intent to meet or negotiate,Barack Obama,2014-03-09
Xi Jinping,Consult,Angela Merkel,2014-03-09
Iran,Engage in negotiation,Catherine Ashton,2014-03-09
Qatar,Host a visit,Ministry (Ministry of Administrative Development),2014-03-09
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-03-09
Mexico,Express intent to cooperate,South Korea,2014-03-09
John Kerry,Make statement,Sergey Viktorovich Lavrov,2014-03-09
Xi Jinping,Express intent to cooperate,Angela Merkel,2014-03-09
South Korea,Express intent to meet or negotiate,Mexico,2014-03-09
Javier Solana,Make a visit,Iran,2014-03-09
Catherine Ashton,Make statement,Iran,2014-03-09
Angela Merkel,Consult,Xi Jinping,2014-03-10
Bukola Saraki,Make a visit,Head of Government (Nigeria),2014-03-10
Afghanistan,Make empathetic comment,Mohammed Qasim Fahim,2014-03-10
Mohammed Qasim Fahim,Make statement,Afghanistan,2014-03-10
Morocco,Host a visit,Foreign Affairs (United States),2014-03-10
Catherine Ashton,Engage in negotiation,Iran,2014-03-10
Catherine Ashton,Consult,Iran,2014-03-10
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-03-10
North Korea,Engage in negotiation,Japan,2014-03-10
Catherine Ashton,Praise or endorse,Iran,2014-03-10
Pope Francis,Express intent to meet or negotiate,South Korea,2014-03-10
Police (Malaysia),Make statement,Malaysia,2014-03-10
Civil Service (Zambia),Praise or endorse,Lawmaker (Zambia),2014-03-10
Barack Obama,Make a visit,The Hague,2014-03-10
Xi Jinping,Express intent to cooperate,Angela Merkel,2014-03-10
Catherine Ashton,Praise or endorse,Mohammad Javad Zarif,2014-03-10
The Hague,Host a visit,Barack Obama,2014-03-10
Barack Obama,Discuss by telephone,Xi Jinping,2014-03-10
Mamnoon Hussain,Praise or endorse,Enver Hoxhaj,2014-03-10
Xi Jinping,Consult,Angela Merkel,2014-03-10
Catherine Ashton,Consult,Mohammad Javad Zarif,2014-03-10
Mamnoon Hussain,Host a visit,Enver Hoxhaj,2014-03-10
Lawmaker (Zambia),Criticize or denounce,Civil Service (Zambia),2014-03-10
Pope Francis,Make a visit,South Korea,2014-03-10
Manuel Augusto,Make a visit,Malawi,2014-03-10
Iran,Engage in negotiation,Catherine Ashton,2014-03-10
Mohammad Javad Zarif,Engage in negotiation,Catherine Ashton,2014-03-10
Iran,Criticize or denounce,Catherine Ashton,2014-03-10
Malaysia,Investigate,Police (Malaysia),2014-03-10
Xi Jinping,Consult,Barack Obama,2014-03-10
Military Personnel - Special (Nigeria),fight with small arms and light weapons,Citizen (Nigeria),2014-03-10
Japan,Express intent to engage in diplomatic cooperation (such as policy support),North Korea,2014-03-10
Catherine Ashton,Make statement,Iran,2014-03-10
Government (Nigeria),Criticize or denounce,Citizen (Nigeria),2014-03-10
Japan,Express intent to meet or negotiate,North Korea,2014-03-10
Malawi,Host a visit,Manuel Augusto,2014-03-10
Militant (Syria),Host a visit,Benjamin Netanyahu,2014-03-10
Head of Government (Nigeria),Host a visit,Bukola Saraki,2014-03-10
Enver Hoxhaj,Make a visit,Mamnoon Hussain,2014-03-10
Foreign Affairs (United States),Make a visit,Morocco,2014-03-10
North Korea,Host a visit,Kim Jong-Un,2014-03-10
South Korea,Host a visit,Pope Francis,2014-03-10
Kim Jong-Un,Make a visit,North Korea,2014-03-10
Citizen (Nigeria),Use unconventional violence,Farm Worker (Nigeria),2014-03-10
Government (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-03-10
Iran,Sign formal agreement,Catherine Ashton,2014-03-10
Barack Obama,Express intent to cooperate economically,Xi Jinping,2014-03-10
Catherine Ashton,Sign formal agreement,Iran,2014-03-10
Citizen (Nigeria),Use unconventional violence,Military Personnel - Special (Nigeria),2014-03-10
Enver Hoxhaj,Consult,Mamnoon Hussain,2014-03-10
Malaysia,Host a visit,Ministry of Public Security (China),2014-03-10
Adli Mansour,Make an appeal or request,Ministry (Egypt),2014-03-10
Iran,Host a visit,Catherine Ashton,2014-03-10
Ministry (Egypt),Discuss by telephone,Adli Mansour,2014-03-10
Mamnoon Hussain,Consult,Enver Hoxhaj,2014-03-10
Farm Worker (Nigeria),Use conventional military force,Citizen (Nigeria),2014-03-10
Benjamin Netanyahu,Make a visit,Militant (Syria),2014-03-10
Ministry of Public Security (China),Make a visit,Malaysia,2014-03-10
Angela Merkel,Express intent to cooperate,Xi Jinping,2014-03-10
Xi Jinping,Consult,Barack Obama,2014-03-11
Phung Quang Thanh,Host a visit,Qi Jianguo,2014-03-11
Ireland,Host a visit,Alexis Tsipras,2014-03-11
Umar al Bashir,Host a visit,Foreign Affairs (Kuwait),2014-03-11
Iran,Host a visit,Hossein Salami,2014-03-11
Sergey Viktorovich Lavrov,Discuss by telephone,Fumio Kishida,2014-03-11
Macky Sall,Make a visit,Adli Mansour,2014-03-11
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-03-11
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-03-11
Government (Nigeria),"Return, release person(s)",Citizen (Nigeria),2014-03-11
Guinea,Host a visit,Ibrahim Boubacar Keïta,2014-03-11
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-03-11
Sergey Viktorovich Lavrov,Make statement,John Kerry,2014-03-11
Military (France),Provide military protection or peacekeeping,African Union,2014-03-11
Alexis Tsipras,Make a visit,Ireland,2014-03-11
African Union,Receive deployment of peacekeepers,Military (France),2014-03-11
Iran,Criticize or denounce,Catherine Ashton,2014-03-11
Sergey Viktorovich Lavrov,Engage in negotiation,John Kerry,2014-03-11
Japan,Host a visit,John Kerry,2014-03-11
John Kerry,Make a visit,Japan,2014-03-11
Catherine Ashton,Consult,Iran,2014-03-11
Hossein Salami,Make a visit,Iran,2014-03-11
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-11
Ethiopia,Host a visit,Uhuru Muigai Kenyatta,2014-03-11
Pervez Musharraf,Make an appeal or request,Special Court (Pakistan),2014-03-11
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-03-11
Ibrahim Boubacar Keïta,Make a visit,Guinea,2014-03-11
China,Make a visit,Malaysia,2014-03-11
Citizen (Nigeria),Make pessimistic comment,Government (Nigeria),2014-03-11
Qi Jianguo,Make a visit,Phung Quang Thanh,2014-03-11
Uhuru Muigai Kenyatta,Express intent to meet or negotiate,Ethiopia,2014-03-11
Iran,Host a visit,Catherine Ashton,2014-03-11
Barack Obama,Discuss by telephone,Xi Jinping,2014-03-11
Special Court (Pakistan),"Arrest, detain, or charge with legal action",Pervez Musharraf,2014-03-11
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-03-11
Malaysia,Host a visit,China,2014-03-11
Armed Band (Syria),Use unconventional violence,Government (Syria),2014-03-11
Fumio Kishida,Consult,Sergey Viktorovich Lavrov,2014-03-11
John Kerry,Engage in negotiation,Sergey Viktorovich Lavrov,2014-03-11
Foreign Affairs (Kuwait),Make a visit,Umar al Bashir,2014-03-11
Government (Syria),Use conventional military force,Armed Band (Syria),2014-03-11
Adli Mansour,Host a visit,Macky Sall,2014-03-11
Akitaka Saiki,Engage in negotiation,Cho Tai-young,2014-03-12
Catherine Ashton,Make statement,Iran,2014-03-12
South Africa,Reduce or break diplomatic relations,Foreign Affairs (Rwanda),2014-03-12
Oman,Sign formal agreement,Iran,2014-03-12
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-03-12
Japan,Engage in negotiation,South Korea,2014-03-12
City Mayor (Philippines),Make statement,Lawyer/Attorney (Philippines),2014-03-12
