head,relation,tail,time
Military (France),Consult,François Hollande,2014/7/20
China,Make pessimistic comment,South Sudan,2014/1/3
Ministry (Thailand),"Impose blockade, restrict movement",Thailand,2014/1/15
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014/3/17
Police (Israel),"Arrest, detain, or charge with legal action",Criminal (Israel),2014/7/27
Police (Philippines),Use conventional military force,Philippines,2014/7/14
China,Engage in diplomatic cooperation,Vietnam,2014/10/27
Iran,Host a visit,European Parliament,2014/6/14
Aam Aadmi Party,Use conventional military force,Election Commission (India),2014/5/13
Foreign Affairs (Kuwait),Engage in negotiation,Sabah Khaled Al-Hamad Al-Sabah,2014/11/23
Other Authorities / Officials (Mexico),Make statement,Héctor Beltrán Leyva,2014/10/2
Arseniy Yatsenyuk,Make optimistic comment,Verkhovna Rada,2014/9/10
Sergey Viktorovich Lavrov,Make a visit,China,2014/4/16
Cabinet / Council of Ministers / Advisors (United States),Criticize or denounce,Benjamin Netanyahu,2014/3/16
Myanmar,Host a visit,Association of Southeast Asian Nations,2014/8/11
Border Security Force,Express intent to cooperate,Citizen (Bangladesh),2014/8/25
Court Judge (India),"Arrest, detain, or charge with legal action",Citizen (India),2014/10/28
Naval (China),Express intent to meet or negotiate,China,2014/3/10
China,Use conventional military force,Women (China),2014/12/16
Annick Girardin,Make statement,France,2014/9/13
Police (Indonesia),Investigate,Citizen (Indonesia),2014/7/2
Thailand,Investigate,Citizen (Thailand),2014/10/26
Nasser Judeh,Accuse,Israeli Defense Forces,2014/10/18
Citizen (Kenya),Make an appeal or request,Government (Kenya),2014/11/27
Citizen (Kenya),Criticize or denounce,William Ruto,2014/8/5
Ministry (Afghanistan),Make statement,Military Personnel - Special (Afghanistan),2014/1/29
Morocco,Host a visit,John Kerry,2014/3/28
Constantin Nita,Express intent to meet or negotiate,Romania,2014/6/5
Julie Bishop,Consult,United Arab Emirates,2014/9/23
Barack Obama,Consult,Pope Francis,2014/12/17
China,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2014/7/24
Abdel Fattah Al-Sisi,Make statement,Other Authorities / Officials (Egypt),2014/6/24
Election Commission (India),Make an appeal or request,Citizen (India),2014/5/15
Citizen (Nigeria),Make an appeal or request,Court Judge (Nigeria),2014/8/6
Police (Tanzania),Confiscate property,Citizen (Tanzania),2014/2/10
Police (Philippines),Make statement,Philippines,2014/8/30
Toomas Hendrik Ilves,Express intent to meet or negotiate,Taavi Rõivas,2014/3/14
Insurgent (Islamic State of Iraq and the Levant),"Abduct, hijack, or take hostage",Citizen (Turkey),2014/6/18
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014/8/19
Tajikistan,Host a visit,Defense / Security Ministry (China),2014/3/28
Kathleen Wynne,Appeal for intelligence,Attorney General (Canada),2014/12/16
Tehrik-i-Taliban Pakistan,Consult,Government (Pakistan),2014/3/26
Other Authorities / Officials (China),Engage in negotiation,Government (Nepal),2014/10/17
Fiji,Praise or endorse,New Zealand,2014/9/23
China,Criticize or denounce,Japan,2014/7/15
The Hague,Host a visit,William Ruto,2014/10/6
Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014/3/3
Criminal (Brazil),"Return, release person(s)",Citizen (Brazil),2014/10/15
Japan,Engage in negotiation,South Korea,2014/9/19
Nuri al-Maliki,Consult,Iraq,2014/7/14
Isaias Afewerki,Express intent to meet or negotiate,Qatar,2014/3/2
Government (Nigeria),Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014/5/23
Police (Australia),"Return, release person(s)",Criminal (Australia),2014/8/5
Thailand,Host a visit,Vietnam,2014/12/30
Governor (Thailand),Impose administrative sanctions,Thailand,2014/4/24
Israeli Defense Forces,fight with small arms and light weapons,Military (Lebanon),2014/10/16
Middle East,Meet at a 'third' location,Massoud Barzani,2014/7/15
Anders Borg,Make statement,Asylum Seeker (Sweden),2014/9/2
Foreign Affairs (Luxembourg),Express intent to meet or negotiate,Iran,2014/4/23
Muhammadiyah,Make optimistic comment,Citizen (Indonesia),2014/9/25
Ministry (Angola),Make statement,Angola,2014/1/24
Defense / Security Ministry (Yemen),Make statement,Combatant (Yemen),2014/5/7
Adli Mansour,Discuss by telephone,Ministry (Egypt),2014/3/10
Citizen (India),Make an appeal or request,Court Judge (India),2014/11/5
Police (Costa Rica),"Arrest, detain, or charge with legal action",Women (Costa Rica),2014/12/5
Armed Band (South Africa),Use unconventional violence,Men (South Africa),2014/8/13
Bill English,Criticize or denounce,Government (New Zealand),2014/11/19
Uhuru Muigai Kenyatta,Accuse,Citizen (Kenya),2014/6/17
North Atlantic Treaty Organization,Meet at a 'third' location,Julie Bishop,2014/9/4
Hakeem Baba-Ahmed,Make an appeal or request,Citizen (Nigeria),2014/5/30
Military (Thailand),Use conventional military force,Citizen (Thailand),2014/5/24
United Arab Emirates,Make an appeal or request,Citizen (United Arab Emirates),2014/4/27
Cristina Fernández de Kirchner,Make statement,Government (Argentina),2014/8/15
Japan,Criticize or denounce,China,2014/11/15
Sergey Viktorovich Lavrov,Meet at a 'third' location,John Kerry,2014/4/17
Wael al-Halki,Make an appeal or request,Business (Iran),2014/12/19
Citizen (India),Express intent to engage in diplomatic cooperation (such as policy support),Ruling Party (India),2014/1/8
Prayuth Chan-ocha,Reduce relations,National Council for Peace and Order of Thailand,2014/6/18
Emmanuel Eweta Uduaghan,Make statement,Government (Nigeria),2014/8/7
Ireland,Engage in diplomatic cooperation,Iran,2014/9/30
Marziyeh Afkham,Make statement,Iran,2014/2/19
Xi Jinping,Express intent to meet or negotiate,Fiji,2014/11/15
Ministry (Nigeria),Make an appeal or request,Head of Government (Nigeria),2014/6/17
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014/1/23
Barack Obama,Express intent to meet or negotiate,China,2014/11/10
China,Express intent to meet or negotiate,Iran,2014/9/16
Daniel Russel,Express intent to meet or negotiate,South Korea,2014/10/3
Villager (Sudan),Consult,Media (Africa),2014/1/29
Al Jazeera,Consult,Hamas,2014/7/26
Court Judge (India),Threaten,Citizen (India),2014/9/18
China,Demand,Other Authorities / Officials (China),2014/4/3
Xi Jinping,Express intent to meet or negotiate,New Zealand,2014/11/12
Catherine Ashton,Make a visit,Kuwait,2014/1/14
Citizen (Kenya),Engage in symbolic act,Lawyer/Attorney (Kenya),2014/11/25
Police (Australia),Accuse,Citizen (Australia),2014/8/21
Qin Gang,Make statement,Japan,2014/12/16
Colombia,Host a visit,Joseph Robinette Biden,2014/6/23
Umar al Bashir,Make an appeal or request,Citizen (Sudan),2014/4/23
Envoy (United States),Express intent to meet or negotiate,China,2014/12/2
Governor (Venezuela),Accuse,Citizen (Venezuela),2014/9/13
Governor (Kenya),Make statement,Government (Kenya),2014/1/27
Court Judge (India),Demand diplomatic cooperation (such as policy support),Citizen (India),2014/11/11
Armed Band (Brazil),Demand,Citizen (Brazil),2014/2/3
Militant (Boko Haram),Use unconventional violence,Citizen (Nigeria),2014/12/10
Mohammad Javad Zarif,Make statement,Iran,2014/9/7
China,Engage in negotiation,Thailand,2014/9/8
Boko Haram,Use conventional military force,Citizen (Nigeria),2014/10/31
Armed Gang (Syria),Use unconventional violence,Hezbollah,2014/10/6
Head of Government (Nigeria),Make an appeal or request,Government (Nigeria),2014/8/25
Head of Government (Ukraine),Make an appeal or request,Protester (Ukraine),2014/2/12
Barack Obama,Discuss by telephone,Xi Jinping,2014/3/10
Citizen (Nigeria),Praise or endorse,Government (Nigeria),2014/6/11
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Women (Afghanistan),2014/1/14
Bahrain,Consult,Foreign Affairs (United States),2014/7/10
North Atlantic Treaty Organization,Make statement,Barack Obama,2014/5/20
Angela Merkel,Make statement,Government (Germany),2014/5/22
Police (Israel),"Arrest, detain, or charge with legal action",Children (Israel),2014/3/27
Citizen (Nigeria),Make an appeal or request,Muslim (Nigeria),2014/11/30
Mamnoon Hussain,Consult,Ashraf Ghani Ahmadzai,2014/10/17
Police (Sudan),Use tactics of violent repression,Citizen (Sudan),2014/6/9
Japan,Host a visit,Barack Obama,2014/4/3
Ethiopia,Consult,Shura Council,2014/12/29
Ministry (Tanzania),Make statement,Education (Tanzania),2014/6/20
Company - Owner or Operator (India),"Arrest, detain, or charge with legal action",Citizen (India),2014/2/1
China,Make statement,UN Security Council,2014/12/23
China,Praise or endorse,Iran,2014/5/22
Julie Bishop,Consult,Chuck Hagel,2014/8/11
Member of the Judiciary (China),"Arrest, detain, or charge with legal action",City Mayor (China),2014/12/2
Media Personnel (Thailand),Make statement,National Council for Peace and Order of Thailand,2014/7/4
Labor Union (India),Consult,Governor (India),2014/12/26
Head of Government (Ukraine),Make statement,Arseniy Yatsenyuk,2014/9/22
Afghanistan,Engage in diplomatic cooperation,Tajikistan,2014/9/12
Fessehaye Yohannes,Make an appeal or request,Member of the Judiciary (Nigeria),2014/12/15
Police (Australia),Criticize or denounce,Citizen (Australia),2014/12/10
Police (Yemen),Make statement,Armed Rebel (Yemen),2014/9/6
Afghanistan,Express intent to engage in diplomatic cooperation (such as policy support),Insurgent (Afghanistan),2014/11/25
Business (Russia),"Impose embargo, boycott, or sanctions",Iran,2014/2/3
Police (Philippines),Make statement,City Mayor (Philippines),2014/11/18
John Kerry,Reject military cooperation,Iran,2014/9/16
Abdullah Abdullah,Make statement,Ashraf Ghani Ahmadzai,2014/8/10
Mahmoud Ahmadinejad,Make statement,Iran,2014/1/15
Other Authorities / Officials (Somalia),Consult,Cabinet / Council of Ministers / Advisors (Somalia),2014/9/3
Head of Government (Ukraine),Accuse,Military (Russia),2014/8/29
Citizen (India),Complain officially,Teesta Setalvad,2014/4/6
Court Judge (India),"Arrest, detain, or charge with legal action",Citizen (India),2014/11/4
Government (Nigeria),Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014/8/4
Chuck Hagel,Make a visit,China,2014/3/28
Court Judge (Nigeria),Investigate,Citizen (Nigeria),2014/8/4
North Korea,Threaten with military force,South Korea,2014/6/26
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014/7/7
Xi Jinping,Make statement,China,2014/10/1
North Korea,Make an appeal or request,South Korea,2014/1/28
Mohammad Javad Zarif,Meet at a 'third' location,Abu Bakr Abdullah al-Qirbi,2014/5/31
China,Criticize or denounce,Philippines,2014/4/8
Member of Parliament (Iran),Criticize or denounce,Ministry (Iran),2014/2/27
Citizen (Thailand),fight with small arms and light weapons,Thailand,2014/2/26
Defense / Security Ministry (Iraq),Make statement,Militant (Iraq),2014/12/15
John Kerry,Make a visit,Morocco,2014/3/28
Vitali Klitschko,Appeal for economic aid,Angela Merkel,2014/2/18
Labor and Employment Ministry (Botswana),Make statement,Government (Botswana),2014/12/4
Peacekeeping Troop (Africa),Use conventional military force,Militant (Somalia),2014/8/15
Police (Australia),Make an appeal or request,Citizen (Australia),2014/12/1
Barack Obama,Express intent to meet or negotiate,France,2014/4/30
Phung Quang Thanh,Host a visit,Philippines,2014/3/21
Iran,Make statement,Ministry (Iran),2014/6/9
Barack Obama,Consider policy option,Afghanistan,2014/1/8
Boko Haram,Use conventional military force,Citizen (Nigeria),2014/7/17
Court Judge (India),Criticize or denounce,Citizen (India),2014/12/18
Toomas Hendrik Ilves,Consult,Joseph Robinette Biden,2014/3/18
Sergey Viktorovich Lavrov,Express intent to engage in diplomatic cooperation (such as policy support),Representatives (Russia),2014/9/25
Police (Egypt),Make statement,Armed Gang (Egypt),2014/8/18
Iran,Express intent to meet or negotiate,France,2014/10/18
Israeli Defense Forces,Make statement,Hamas,2014/8/4
Villager (Pakistan),Demonstrate or rally,Government (Pakistan),2014/11/21
Murtala Nyako,Criticize or denounce,Government (Nigeria),2014/2/28
Head of Government (Ukraine),Make statement,Military (Russia),2014/12/8
Kashim Shettima,Make an appeal or request,Citizen (Nigeria),2014/9/3
Canada,Sign formal agreement,South Korea,2014/3/15
Defense / Security Ministry (China),Make statement,China,2014/11/4
Kathleen Wynne,Consult,Tim Hudak,2014/5/31
Mamnoon Hussain,Praise or endorse,Enver Hoxhaj,2014/3/10
China,Express intent to provide economic aid,Sierra Leone,2014/10/24
China,Host a visit,Barack Obama,2014/10/26
Iraq,Receive deployment of peacekeepers,Iran,2014/6/18
Benjamin Netanyahu,Demand,Barack Obama,2014/5/8
Militant (Iraq),Use unconventional violence,Iraq,2014/9/22
Japan,Express intent to provide material aid,Association of Southeast Asian Nations,2014/4/21
China,Consult,France,2014/3/24
"Head of Government (Palestinian Territory, Occupied)",Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (United States),2014/8/29
Citizen (Kenya),Threaten,Government (Kenya),2014/6/18
Iran,Engage in diplomatic cooperation,Qatar,2014/12/10
Ministry (Egypt),Make statement,Police (Egypt),2014/11/25
Muslim Rights Concern,Praise or endorse,Government (Nigeria),2014/7/29
Police (Australia),Make an appeal or request,Citizen (Australia),2014/10/5
Sergey Viktorovich Lavrov,Make an appeal or request,John Kerry,2014/3/24
Armed Gang (Thailand),Use unconventional violence,Citizen (Thailand),2014/1/15
Lawyer/Attorney (United Kingdom),Demand,Citizen (United Kingdom),2014/2/5
France,Consult,John Kerry,2014/10/16
Japan,Make a visit,North Korea,2014/10/23
Umaru Tanko Al-Makura,Make an appeal or request,Assemblies (Nigeria),2014/8/11
Citizen (Australia),"Protest violently, riot",Police (Australia),2014/5/29
South Sudan,Praise or endorse,John Kerry,2014/5/3
Nuri al-Maliki,Make statement,Iraq,2014/2/11
Ashok Kumar,Demand,Citizen (India),2014/2/16
Thailand,Express intent to cooperate,Myanmar,2014/10/9
Philippines,Host a visit,Pope Francis,2014/12/22
Citizen (Brazil),Reject,Ministry (Brazil),2014/8/2
Naval (Sri Lanka),"Arrest, detain, or charge with legal action",Fishermen (India),2014/3/27
France,Engage in diplomatic cooperation,Philippines,2014/9/17
Military (Papua New Guinea),Criticize or denounce,Government (Papua New Guinea),2014/6/12
Terrorist (Islamic State of Iraq and the Levant),Threaten,Iraq,2014/10/8
Tony Blair,Engage in negotiation,Abdel Fattah Al-Sisi,2014/7/16
China,Consult,France,2014/11/7
Citizen (Saudi Arabia),Use unconventional violence,Police (Saudi Arabia),2014/11/6
William Ruto,Criticize or denounce,Government (Kenya),2014/1/14
China,Engage in diplomatic cooperation,Slovenia,2014/11/21
Military Personnel (Philippines),Consult,Media (Philippines),2014/12/10
Barack Obama,Express intent to meet or negotiate,Japan,2014/2/5
Mohammad Javad Zarif,Make statement,France,2014/2/19
Ma Ying Jeou,Express intent to cooperate,Kuomintang,2014/3/19
Angela Merkel,Make empathetic comment,Benjamin Netanyahu,2014/1/12
China,Host a visit,Barack Obama,2014/3/17
Citizen (India),Make an appeal or request,Company - Owner or Operator (India),2014/4/14
Men (Syria),Use unconventional violence,Militant (Syria),2014/12/26
Barack Obama,Appeal for aid,China,2014/12/21
North Korea,Make an appeal or request,Japan,2014/4/11
Barack Obama,Discuss by telephone,Haider Al-Abadi,2014/9/8
Attacker (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2014/10/27
Julie Bishop,Make a visit,Laos,2014/7/4
Alhaji Aliko Dangote,Make an appeal or request,Citizen (Nigeria),2014/10/2
Citizen (Malaysia),Accuse,Malaysia,2014/5/28
North Atlantic Treaty Organization,Investigate,France,2014/6/12
Xi Jinping,Express intent to cooperate,Barack Obama,2014/11/14
Vietnam,Make statement,China,2014/5/28
Hakainde Hichilema,Accuse,Michael Sata,2014/9/8
Pope Francis,Consult,Barack Obama,2014/12/19
Abdulrahman Kinana,Accuse,Citizen (Tanzania),2014/5/29
Activist (France),"Obstruct passage, block",France,2014/9/7
North Atlantic Treaty Organization,Accuse,Military (Russia),2014/11/14
Barack Obama,Praise or endorse,Vietnam,2014/11/14
France,Consider policy option,South Sudan,2014/4/24
Head of Government (China),Express intent to engage in diplomatic cooperation (such as policy support),Frank Bainimarama,2014/9/25
Uhuru Muigai Kenyatta,Make an appeal or request,Citizen (Kenya),2014/12/19
Akif Hamzaçebi,Make statement,Republican People's Party,2014/4/10
Vietnam,Cooperate economically,Laos,2014/12/15
Mahmoud Ahmadinejad,Make statement,Iran,2014/1/16
China,Make statement,Iran,2014/12/20
Iran,Make a visit,France,2014/6/9
Kyriakos Gerontopoulos,Make a visit,Romania,2014/10/21
Lawyer/Attorney (Australia),Make an appeal or request,Citizen (Australia),2014/3/10
Ashraf Ghani Ahmadzai,Express intent to cooperate,Abdullah Abdullah,2014/7/21
Xi Jinping,Make statement,Other Authorities / Officials (China),2014/4/26
Justice and Development Party,Reject,Main Opposition (Turkey),2014/3/19
Abdel Fattah Al-Sisi,Consult,Envoy (Qatar),2014/12/22
Citizen (Nigeria),Criticize or denounce,Court Judge (Nigeria),2014/11/12
Xi Jinping,Make statement,China,2014/8/17
International Monetary Fund,Make a visit,Madagascar,2014/7/1
Royal Administration (Jordan),Host a visit,John Kerry,2014/1/16
Tony Blair,Make statement,Vietnam,2014/7/23
Citizen (United Kingdom),Make an appeal or request,Court Judge (United Kingdom),2014/9/30
Qin Gang,Make statement,China,2014/5/20
South Korea,Host a visit,Liu Zhenmin,2014/2/24
John Kerry,Consult,Nasser Judeh,2014/2/19
France,Host a visit,Pope Francis,2014/11/25
Lawyer/Attorney (United Kingdom),Criticize or denounce,Court Judge (United Kingdom),2014/3/18
François Hollande,Make a visit,France,2014/2/28
Qin Gang,Make statement,China,2014/8/27
China,Host a visit,Defense / Security Ministry (United States),2014/4/7
Sergey Viktorovich Lavrov,Meet at a 'third' location,John Kerry,2014/12/18
Uhuru Muigai Kenyatta,Demand diplomatic cooperation (such as policy support),Ethiopia,2014/3/13
Barack Obama,Express intent to cooperate,Japan,2014/4/24
Sergey Kuzhugetovich Shoygu,Criticize or denounce,Chuck Hagel,2014/10/17
Government (Nigeria),Criticize or denounce,Citizen (Nigeria),2014/10/28
Abdullah Abdullah,Accuse,Head of Government (Afghanistan),2014/6/20
Antonis Samaras,Express intent to meet or negotiate,New Democracy,2014/2/19
Raúl Castro,Praise or endorse,Barack Obama,2014/12/17
Willem-Alexander,Consult,Xi Jinping,2014/3/23
Defense Attorney (Namibia),Appeal for judicial cooperation,Court Judge (Namibia),2014/11/20
Manuel Augusto,Make statement,Angola,2014/6/2
Malaysia,Express intent to cooperate,China,2014/11/11
Aladdin Boroujerdi,Praise or endorse,Terrorist Leader (Islamic State of Iraq and the Levant),2014/9/20
Police (Australia),Investigate,Citizen (Australia),2014/5/26
Citizen (Nigeria),Accuse,Secretariat (Nigeria),2014/7/25
South Sudan,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014/5/2
Citizen (Unidentified State Actor),Criticize or denounce,China,2014/5/22
Leopoldo López,Make an appeal or request,Citizen (Venezuela),2014/2/7
Joseph Robinette Biden,Express intent to meet or negotiate,Toomas Hendrik Ilves,2014/3/18
China,Criticize or denounce,Congress (United States),2014/12/12
Citizen (Kenya),Express intent to cooperate,Jackson Mandago,2014/6/27
Governor (Kenya),Make statement,Police (Kenya),2014/1/31
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2014/6/26
Villager (India),Demand,Citizen (India),2014/5/7
Japan,Consult,South Korea,2014/3/18
Iran,Provide aid,Iraq,2014/12/20
Barack Obama,Consult,Angela Merkel,2014/3/3
Laos,Express intent to cooperate,Thailand,2014/11/27
Pham Binh Minh,Make statement,Vietnam,2014/8/3
Julie Bishop,Make an appeal or request,Japan,2014/2/20
Head of Government (Brazil),Make pessimistic comment,Citizen (Brazil),2014/6/8
Protester (Hong Kong),"Protest violently, riot",Police (Hong Kong),2014/12/3
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014/3/20
Iran,Make a visit,Massoud Barzani,2014/4/16
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States),2014/11/21
John Kerry,Threaten,Afghanistan,2014/7/8
Citizen (India),Sexually assault,Employee (India),2014/3/14
Defense / Security Ministry (Russia),Make an appeal or request,North Atlantic Treaty Organization,2014/5/8
Member of Parliament (Australia),Make statement,Lawyer/Attorney (Australia),2014/12/18
Company - Owner or Operator (Thailand),Make statement,Thailand,2014/8/25
Citizen (Indonesia),Make optimistic comment,Political Parties (Indonesia),2014/5/11
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014/11/24
United States Senate,Reject,Iran,2014/4/21
Court Judge (India),Deny responsibility,Citizen (India),2014/12/4
Zaheerul Islam,Consult,Chaudhry Nisar Ali Khan,2014/3/4
Head of Government (India),Accuse,Citizen (India),2014/12/3
Labor Union (Nigeria),Make an appeal or request,Government (Nigeria),2014/1/9
Lawyer/Attorney (South Korea),"Arrest, detain, or charge with legal action",Citizen (South Korea),2014/6/20
Mohamed Ould Abdel Aziz,Make statement,African Union,2014/4/4
Angela Merkel,Discuss by telephone,Barack Obama,2014/7/18
Iran,Praise or endorse,Iraq,2014/12/4
Salvador Sánchez Cerén,Engage in negotiation,Antonio Saca,2014/2/6
South Korea,Host a visit,Envoy (United States),2014/9/30
Portugal,Host a visit,China,2014/5/10
Employee (India),Use conventional military force,Company - Owner or Operator (India),2014/6/16
Ministry (Nigeria),Make statement,Government (Nigeria),2014/12/22
Japan,Investigate,North Korea,2014/6/12
Xi Jinping,Demand diplomatic cooperation (such as policy support),China,2014/11/7
Government (United States),Criticize or denounce,Al-Shabaab,2014/5/24
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014/3/25
Chibuike Rotimi Amaechi,Refuse to yield,Patience Jonathan,2014/10/27
International Monetary Fund,Consult,Morocco,2014/5/9
Benjamin Netanyahu,Make statement,Hamas,2014/8/22
Lawmaker (Japan),Make a visit,China,2014/5/6
Catherine Ashton,Consult,Mohammad Javad Zarif,2014/1/26
Ashraf Ghani Ahmadzai,Express intent to cooperate,Abdullah Abdullah,2014/8/16
Conference of Nigerian Political Parties,Accuse,Government (Nigeria),2014/2/26
Nuri al-Maliki,Make statement,Legislature (Iraq),2014/7/19
UN Security Council,Make statement,Iraq,2014/7/28
Aladdin Boroujerdi,Praise or endorse,Iraq,2014/7/14
Citizen (Tanzania),Appeal to engage in or accept mediation,Jakaya Mrisho Kikwete,2014/9/15
Member of the Judiciary (China),"Arrest, detain, or charge with legal action",City Mayor (China),2014/12/10
Kuwait,Engage in diplomatic cooperation,Iraq,2014/11/2
Omar Abdullah,Make an appeal or request,Citizen (India),2014/11/29
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014/1/3
Comoros,Host a visit,François Hollande,2014/7/25
North Korea,Criticize or denounce,South Korea,2014/11/11
Foreign Affairs (Russia),Engage in negotiation,Iran,2014/9/18
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014/11/15
North Korea,Express intent to cooperate,South Korea,2014/1/6
South Korea,Host a visit,Envoy (United States),2014/12/4
South Africa,Consult,China,2014/7/4
Thailand,Cooperate economically,Myanmar,2014/12/15
Government (Nigeria),Deny responsibility,Ministry (Nigeria),2014/1/6
Colombia,"Arrest, detain, or charge with legal action",Guerrilla (Revolutionary Armed Forces of Colombia),2014/2/22
Canada,Sign formal agreement,Serbia,2014/9/2
"Children (Palestinian Territory, Occupied)",Use unconventional violence,Police (Israel),2014/3/16
Iraq,Make statement,Hezbollah,2014/7/31
Citizen (Kenya),Demand diplomatic cooperation (such as policy support),Governor (Kenya),2014/2/20
Laos,Engage in negotiation,China,2014/10/21
Joseph Robinette Biden,Consult,Salvador Sánchez Cerén,2014/7/26
Xi Jinping,Sign formal agreement,Tsakhiagiyn Elbegdorj,2014/8/21
Marziyeh Afkham,Criticize or denounce,John Kerry,2014/1/9
Nuri al-Maliki,Reject,Party Member (Iraq),2014/7/4
Iran,Consult,South Korea,2014/5/2
Education (Nigeria),Make an appeal or request,Government (Nigeria),2014/12/31
Tanzania,"Return, release person(s)",Citizen (Tanzania),2014/10/16
China,Engage in negotiation,France,2014/5/11
Akitaka Saiki,Express intent to meet or negotiate,South Korea,2014/12/27
United Arab Emirates,Express intent to engage in diplomatic cooperation (such as policy support),Qatar,2014/11/17
Election Commission (Afghanistan),Make statement,Presidential Candidate (Afghanistan),2014/5/22
Military Personnel - Special (Afghanistan),fight with small arms and light weapons,Attacker (Afghanistan),2014/5/5
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014/6/27
Nuri al-Maliki,Express intent to engage in diplomatic cooperation (such as policy support),Haider Al-Abadi,2014/8/16
Men (France),fight with small arms and light weapons,France,2014/5/5
South Korea,Engage in negotiation,China,2014/9/19
Shimon Peres,Make a visit,China,2014/4/4
China,Make statement,Japan,2014/7/1
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014/4/22
Citizen (Georgia),Express intent to meet or negotiate,Davit Usupashvili,2014/3/19
South Africa,"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014/1/17
Victor Ponta,Make statement,Romania,2014/3/11
Angela Merkel,Criticize or denounce,China,2014/10/11
South Korea,Host a visit,Foreign Affairs (United States),2014/1/26
Kashim Shettima,Make statement,Boko Haram,2014/2/18
Citizen (Nigeria),Kill by physical assault,Company - Owner or Operator (Nigeria),2014/8/4
Benjamin Netanyahu,Praise or endorse,Israeli Defense Forces,2014/8/6
Japan,Engage in negotiation,North Korea,2014/7/3
John Kerry,Consult,Catherine Ashton,2014/9/27
Philippines,"Arrest, detain, or charge with legal action",City Mayor (Philippines),2014/3/7
Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2014/2/24
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Julie Bishop,2014/8/11
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014/11/17
China,Host a visit,Defense / Security Ministry (United States),2014/4/9
Media (Africa),Criticize or denounce,Citizen (Kenya),2014/12/16
Armed Gang (Syria),Use unconventional violence,Military (Lebanon),2014/8/27
China,Appeal for diplomatic cooperation (such as policy support),Japan,2014/7/15
Citizen (Kenya),Make an appeal or request,Uhuru Muigai Kenyatta,2014/11/25
Xi Jinping,Make statement,China,2014/11/8
John Kerry,Make a visit,China,2014/11/4
Japan,Make pessimistic comment,France,2014/7/31
Foreign Affairs (United States),Consult,Arseniy Yatsenyuk,2014/4/23
South Korea,Make statement,North Korea,2014/3/24
Middle East,Host a visit,Mohammad Javad Zarif,2014/1/14
Envoy (United States),Make statement,Iran,2014/3/7
Police (South Africa),Use conventional military force,Men (South Africa),2014/1/30
Thailand,"Arrest, detain, or charge with legal action",Citizen (Malaysia),2014/9/2
François Hollande,Consult,Xi Jinping,2014/3/26
Iran,Engage in diplomatic cooperation,Qatar,2014/9/10
Iran,Make statement,Iraq,2014/8/14
Benjamin Netanyahu,Make a visit,Japan,2014/4/25
Governor (Kenya),Provide humanitarian aid,Citizen (Kenya),2014/2/3
Fumio Kishida,Make a visit,Myanmar,2014/4/2
Xi Jinping,Praise or endorse,Joe Natuman,2014/8/17
Henry Rotich,Make statement,Government (Kenya),2014/9/30
Umar al Bashir,Make statement,Government (Sudan),2014/4/7
France,Provide military aid,African Union,2014/1/10
Sergey Viktorovich Lavrov,Consult,John Kerry,2014/11/14
Chibuike Rotimi Amaechi,Make an appeal or request,Citizen (Nigeria),2014/9/5
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014/7/10
Government (Nigeria),Sign formal agreement,Boko Haram,2014/10/21
Wael al-Halki,Make statement,Iran,2014/12/18
Moro Islamic Liberation Front,Make statement,Military (Philippines),2014/7/29
Member of Legislative (Govt) (Kenya),Demand,Citizen (Kenya),2014/2/13
Lawyer/Attorney (Australia),Make statement,Member of Parliament (Australia),2014/7/16
Israeli Defense Forces,Use conventional military force,"Combatant (Palestinian Territory, Occupied)",2014/7/19
Foreign Affairs (Russia),Consult,Sergey Viktorovich Lavrov,2014/11/24
